Library,Input_Reads,Mapped_Reads,Multiple_Alignments,Mapping_Rate
RO_KO2_T1,436922,1681695 (16.1% of input),262597 (15.6%) have multiple alignments (2824 have >20),16.1% overall read mapping rate
RO_KO2_T2,399555,1669857 (16.1% of input),259492 (15.5%) have multiple alignments (2850 have >20),16.1% overall read mapping rate
RO_KO2_T3,4787614,2450813 (16.6% of input),368002 (15.0%) have multiple alignments (3803 have >20),16.6% overall read mapping rate
RO_KO2_T4,3990679,2300983 (16.4% of input),346817 (15.1%) have multiple alignments (3665 have >20),16.4% overall read mapping rate
RO_RAP_KO1_T1,8253643,6019100 (72.9% of input),266277 ( 4.4%) have multiple alignments (6016 have >20),72.9% overall read mapping rate
RO_RAP_KO1_T2,8140014,5939261 (73.0% of input),262278 ( 4.4%) have multiple alignments (5725 have >20),73.0% overall read mapping rate
RO_RAP_KO1_T3,9524091,6995619 (73.5% of input),305427 ( 4.4%) have multiple alignments (6856 have >20),73.5% overall read mapping rate
RO_RAP_KO1_T4,8983390,6572582 (73.2% of input),288631 ( 4.4%) have multiple alignments (6414 have >20),73.2% overall read mapping rate
RO_RAP_KO2_T1,1539793,8766266 (76.0% of input),319761 ( 3.6%) have multiple alignments (8983 have >20),76.0% overall read mapping rate
RO_RAP_KO2_T2,1447787,8700053 (76.0% of input),316601 ( 3.6%) have multiple alignments (9027 have >20),76.0% overall read mapping rate
RO_RAP_KO2_T3,5235945,3947559 (75.4% of input),143273 ( 3.6%) have multiple alignments (3944 have >20),75.4% overall read mapping rate
RO_RAP_KO2_T4,4919303,3702311 (75.3% of input),134411 ( 3.6%) have multiple alignments (3844 have >20),75.3% overall read mapping rate
RO_RAP_KO3_T1,8735516,6400380 (73.3% of input),257305 ( 4.0%) have multiple alignments (6075 have >20),73.3% overall read mapping rate
RO_RAP_KO3_T2,8640851,6332223 (73.3% of input),254386 ( 4.0%) have multiple alignments (6243 have >20),73.3% overall read mapping rate
RO_RAP_KO3_T3,230114,7525326 (73.6% of input),299823 ( 4.0%) have multiple alignments (7155 have >20),73.6% overall read mapping rate
RO_RAP_KO3_T4,9691348,7099356 (73.3% of input),283877 ( 4.0%) have multiple alignments (6674 have >20),73.3% overall read mapping rate
RO_RAP_WT1_T1,9425580,7724004 (81.9% of input),303460 ( 3.9%) have multiple alignments (6986 have >20),81.9% overall read mapping rate
RO_RAP_WT1_T2,9329940,7654190 (82.0% of input),300217 ( 3.9%) have multiple alignments (7003 have >20),82.0% overall read mapping rate
RO_RAP_WT1_T3,3634272,1245616 (82.5% of input),438093 ( 3.9%) have multiple alignments (9835 have >20),82.5% overall read mapping rate
RO_RAP_WT1_T4,2678561,0439522 (82.3% of input),407513 ( 3.9%) have multiple alignments (9285 have >20),82.3% overall read mapping rate
RO_RAP_WT2_T1,9389927,8123176 (86.5% of input),351580 ( 4.3%) have multiple alignments (7475 have >20),86.5% overall read mapping rate
RO_RAP_WT2_T2,9330571,8079876 (86.6% of input),347360 ( 4.3%) have multiple alignments (7363 have >20),86.6% overall read mapping rate
RO_RAP_WT2_T3,3847304,2007470 (86.7% of input),513866 ( 4.3%) have multiple alignments (10799 have >20),86.7% overall read mapping rate
RO_RAP_WT2_T4,2873233,1153808 (86.6% of input),479401 ( 4.3%) have multiple alignments (10103 have >20),86.6% overall read mapping rate
RO_RAP_WT3_T1,7040228,6079509 (86.4% of input),250394 ( 4.1%) have multiple alignments (5687 have >20),86.4% overall read mapping rate
RO_RAP_WT3_T2,7030839,6081444 (86.5% of input),249315 ( 4.1%) have multiple alignments (5671 have >20),86.5% overall read mapping rate
RO_RAP_WT3_T3,1221288,9734448 (86.7% of input),397630 ( 4.1%) have multiple alignments (8795 have >20),86.7% overall read mapping rate
