Gene symbol,RIP LFE,Target bin,Reads bin,Clusters bin,ACUK bin,WGGA bin,RRE Ratio bin,RRE CDS-3UTR bin,Exon Intron Only bin,Exon Intron Ratio bin,Region Exclusive bin,CDS per gene bin,CDS 3UTR Ratio bin,ASD bin,,,,,,,,
A1BG,-0.464601668,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
A1CF,,,,,,,,,,,,,,,,,,,,,,
A2LD1,0.559904442,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
A2M,,,,,,,,,,,,,,,,,,,,,,
A2ML1,,,,,,,,,,,,,,,,,,,,,,
A4GALT,0.133542096,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
A4GNT,,,,,,,,,,,,,,,,,,,,,,
AAAS,-0.338020572,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
AACS,1.156194066,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
AADAC,,,,,,,,,,,,,,,,,,,,,,
AADACL2,,,,,,,,,,,,,,,,,,,,,,
AADACL3,,,,,,,,,,,,,,,,,,,,,,
AADACL4,,,,,,,,,,,,,,,,,,,,,,
AADAT,-0.480150299,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
AAGAB,0.747702401,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
AAK1,0.403387993,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
AAMP,0.276637241,Target,37-102 Reads,5-10 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,CDS,4-6 CDS,,,,,,,,,,
AANAT,,,,,,,,,,,,,,,,,,,,,,
AARS,1.889302643,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
AARS2,1.408771462,Target,37-102 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,CDS,4-6 CDS,,,,,,,,,,
AARSD1,-0.171769035,Target,13-36 Reads,1 Cluster,0 ACUK,0 WGGA,,,Intron,,Intron,,,,,,,,,,,
AASDH,0.701247089,Target,13-36 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
AASDHPPT,-0.950423866,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
AASS,0.547673864,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
AATF,-0.196662037,Target,103-301 Reads, > 24 Clusters,,,,,,1-5:1,, > 13 CDS,> 4:1,,,,,,,,,
AATK,1.087731292,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
ABAT,0.461666395,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,+ASD/-Target,,,,,,,,
ABCA1,,,,,,,,,,,,,,,,,,,,,,
ABCA10,,,,,,,,,,,,,,,,,,,,,,
ABCA11P,0.317257442,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCA12,,,,,,,,,,,,,,,,,,,,,,
ABCA13,,,,,,,,,,,,,,,,,,,,,,
ABCA17P,-0.554160211,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCA2,0.805385791,Target,13-36 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,,<= 1:1,,1 CDS,,,,,,,,,,
