"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Gm20594",-2.07898951204476,7.83770243609654,-14.9104043081447,1.09186108445922e-08,2.92400398418178e-05,9.17328035020241,"Significant"
"Rn7sk",-1.60270241648395,12.4178169719453,-9.46089307673811,1.19851496878558e-06,0.00160481154320389,5.57674267306974,"Significant"
"Zbtb20",-0.742569002647817,7.24325783773347,-7.00240875696113,2.16069940138529e-05,0.0180216319425558,3.08182426687366,"Significant"
"Rpl12",-0.997811487268521,8.36346902517402,-6.83646656551912,2.69180462174098e-05,0.0180216319425558,2.9203114664634,"Significant"
"Thy1",0.427310954980614,8.58361077491856,6.0268917564945,8.27918784415013e-05,0.02309481065516,1.87000254741166,"Significant"
"Fjx1",0.484421819604589,7.46021103416267,5.9785815429237,8.8779974643839e-05,0.02309481065516,1.79133308560254,"Significant"
"Ttr",6.00754249843564,4.66134424520916,6.04967562658084,8.01185893583662e-05,0.02309481065516,1.77439910060906,"Significant"
"Rlf",-0.487145806484519,7.49438339693819,-5.80260581459214,0.000114807923556962,0.02309481065516,1.55762563811807,"Significant"
"Rpl31",-0.781550515275472,7.5334303921091,-5.77618882255892,0.00011936996209096,0.02309481065516,1.52217928485495,"Significant"
"Actb",0.485217430595117,10.8145963759331,5.76692633554875,0.000121014887151928,0.02309481065516,1.51124543142132,"Significant"
"Prkaca",0.481174168278833,7.96001643768543,5.74943741741689,0.000124186865450497,0.02309481065516,1.48557587176961,"Significant"
"Arl8a",0.568025802864765,7.51705127807673,5.73429305536176,0.000127005096481219,0.02309481065516,1.4600456263373,"Significant"
"C2cd2l",0.511190457552905,8.18369817412044,5.65293103172859,0.000143356470232825,0.02309481065516,1.35102292557169,"Significant"
"Thra",0.465484749817021,10.1027465409953,5.62902715886034,0.000148575320278872,0.02309481065516,1.315243502949,"Significant"
"Cyp46a1",0.432329910088525,7.99709718077612,5.60175778372003,0.000154776551767447,0.02309481065516,1.27866595559196,"Significant"
"R3hdm4",0.541899751769746,7.37374329831669,5.60243321013829,0.000154619677340033,0.02309481065516,1.27628468620963,"Significant"
"Eno1",0.381888671132874,9.624299058757,5.47465896318947,0.000187532528511934,0.02309481065516,1.09243585402826,"Significant"
"Plpp3",0.503347757165697,8.4627412870433,5.47028331467804,0.000188783711167847,0.02309481065516,1.09033916439913,"Significant"
"Marcks",0.399602745928402,9.04215596985849,5.46982800742093,0.000188914410709191,0.02309481065516,1.08611014523692,"Significant"
"Rpl38",-0.910965478109137,7.14124446549772,-5.4539201157572,0.000193541722407679,0.02309481065516,1.06801686264618,"Significant"
"Zfp180",-0.472902126109082,8.24475992144337,-5.45416076944166,0.000193470831588708,0.02309481065516,1.06703382703899,"Significant"
"Gsk3a",0.501087895864096,8.14200551186881,5.44574709885087,0.000195965735892078,0.02309481065516,1.05579423425069,"Significant"
"Trps1",-0.544093670876074,7.6169283487293,-5.43781289354218,0.000198349755440134,0.02309481065516,1.04491488773073,"Significant"
"Timp2",0.510016464741675,9.16601898862747,5.39337356758594,0.000212283882254299,0.023478590140545,0.974347615466484,"Significant"
"Phyhip",0.429898105082463,9.2960485146078,5.37251067148333,0.00021918026643526,0.023478590140545,0.94319294555891,"Significant"
