"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Gm20594",-2.40561009725714,7.83770243609654,-17.4434537921723,2.04489283335774e-09,5.47622300773202e-06,11.3038489972552,"Significant"
"Dbp",-1.06179246868595,6.88069684907439,-10.8145021387906,3.10896734952702e-07,0.000416290728101668,6.99879376367351,"Significant"
"Rn7sk",-1.71925219719938,12.4178169719453,-10.0789377807318,6.35443586239551e-07,0.000567239307983173,6.46414016717371,"Significant"
"Rps27a",-1.39171061281808,7.75067778830578,-9.35384246035431,1.34225549994364e-06,0.000898640057212269,5.81145497733394,"Significant"
"Rpl12",-1.32326404650315,8.36346902517402,-9.09699464669631,1.76890582588268e-06,0.000947425960342761,5.56590048813893,"Significant"
"Rpl38",-1.39463305710428,7.14124446549772,-8.33038343931608,4.18612499971815e-06,0.0018684071248742,4.72638366968587,"Significant"
"Slitrk4",-0.68327903380026,7.80889000054403,-8.07987173236774,5.61948415597462e-06,0.00214985408138572,4.45572291205351,"Significant"
"Hecw2",-0.787176539607826,8.41207198135817,-7.78892911415565,7.97851636769937e-06,0.00267080835408736,4.12115961298745,"Significant"
"Rpl31",-1.02736633455761,7.5334303921091,-7.65359499740769,9.42170182565827e-06,0.00280347972101254,3.95908845805281,"Significant"
"Rps17",-0.975559147508217,7.25749329910027,-7.54553852138111,1.07754557958922e-05,0.00288566706213993,3.82890039856909,"Significant"
"Rps23",-1.30905755989726,7.71119530457356,-7.45730463748682,1.20360023311649e-05,0.00293021947662359,3.7226982709291,"Significant"
"Rpl18a",-0.952063777907522,7.43244815252236,-7.21356994687296,1.64166013834477e-05,0.00365111250446176,3.42236503880664,"Significant"
"Nptx2",0.924938375114232,7.00022914954089,7.12210242601794,1.84787544622055e-05,0.00365111250446176,3.30492305337248,"Significant"
"Zbtb20",-0.734619507939223,7.24325783773347,-7.0971964129042,1.9087219963579e-05,0.00365111250446176,3.27636418236688,"Significant"
"Mdga2",-0.783963377461489,7.14083911161929,-7.0247080129187,2.09836971441214e-05,0.00374628939679714,3.18524419303144,"Significant"
"Arl4a",-0.667965951999855,6.80094780535118,-6.9381561103051,2.35165703127628e-05,0.00393608595609868,3.07615311984158,"Significant"
"Trps1",-0.671985570671614,7.6169283487293,-6.75341652331105,3.00871876152258e-05,0.00456342963079154,2.83185870769599,"Significant"
"Vgf",0.761101756730913,8.51014326237718,6.72068110001723,3.14441619144712e-05,0.00456342963079154,2.78253387538583,"Significant"
"Rps21",-1.31133762247652,6.82797462374501,-6.69904673391785,3.23768345724568e-05,0.00456342963079154,2.76782736919655,"Significant"
"Smap2",0.529263539112138,8.22200202851257,6.56356680658853,3.89339154007453e-05,0.0052132512721598,2.57425456368067,"Significant"
"Rpl37",-0.905967611467966,7.26298361739355,-6.47122185210725,4.42097197265723e-05,0.00563779187751241,2.4579943178578,"Significant"
"Cx3cl1",0.651442971582904,9.76012571317722,6.39190397868869,4.93528455202426e-05,0.00588019887006316,2.33051684021855,"Significant"
"Fmr1",-0.572730162246725,6.92014652191996,-6.36486331661559,5.12494308053114e-05,0.00588019887006316,2.32141378911806,"Significant"
"Aldoa",0.516077237871514,11.0676302863345,6.34492320152257,5.2697824078236e-05,0.00588019887006316,2.27322054410084,"Significant"
