Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0007399~nervous system development	259	25.567620927936822	9.386682632747764E-39	83701, 108100, 20807, 18747, 234267, 18749, 14270, 16800, 11461, 18223, 20910, 14580, 15213, 64294, 17984, 14681, 16202, 14870, 17999, 14184, 72961, 20586, 14182, 14183, 225849, 71782, 76510, 19353, 20370, 18212, 22129, 56747, 19229, 14357, 65945, 20266, 140570, 12032, 14299, 234593, 14567, 13609, 18484, 18483, 11444, 12709, 17261, 12876, 58208, 51791, 66049, 20562, 16911, 110197, 17475, 245880, 11840, 19089, 66725, 18479, 76901, 26913, 19339, 77582, 67155, 319504, 240058, 14360, 226180, 19739, 13728, 57754, 12570, 15114, 15251, 381290, 12891, 15902, 18125, 23969, 13004, 52906, 243616, 50849, 30960, 70530, 211134, 12387, 12386, 11820, 30948, 384783, 22388, 13385, 30957, 26417, 22187, 224045, 110279, 30785, 11815, 20512, 60597, 28000, 17760, 50524, 13643, 56320, 17762, 108124, 18762, 20974, 208643, 69807, 11803, 268345, 11804, 14658, 233878, 18752, 20983, 50785, 74653, 110147, 104156, 58235, 74342, 18619, 15081, 14810, 71918, 19280, 75104, 76454, 14026, 18164, 107448, 64011, 54712, 22084, 19699, 192157, 19417, 19415, 21770, 68094, 14828, 103551, 67839, 54725, 268859, 26562, 73340, 93686, 16476, 228880, 53881, 19158, 50932, 17919, 80906, 16467, 11658, 50914, 606496, 108699, 53972, 109934, 14733, 235281, 224727, 56177, 14228, 12808, 12805, 11540, 228357, 12801, 216028, 382056, 67916, 75770, 23999, 226778, 13367, 66993, 233552, 29861, 70762, 67468, 16452, 22223, 214597, 104010, 231580, 57138, 107831, 12569, 22422, 231672, 225875, 19259, 16570, 108902, 73710, 13803, 12759, 18190, 26396, 16432, 217124, 26395, 110596, 59058, 14055, 171469, 16728, 16825, 12933, 12934, 94185, 110351, 243300, 72475, 20720, 19268, 15444, 83797, 19262, 21844, 22348, 12323, 217837, 229791, 216856, 14457, 20320, 242443, 22240, 17967, 227634, 233033, 22339, 20616, 19277, 20614, 21858, 106298, 19272, 11785, 227325, 20312, 320563, 16981, 12315, 17974, 320165, 12317, 11972	923	2261	18082	2.244109093714466	6.342581454947664E-35	6.342581454947664E-35	1.8429590099240865E-35
GOTERM_BP_ALL	GO:0022008~neurogenesis	203	20.03948667324778	3.007797721311754E-34	83701, 108100, 20807, 234267, 14270, 16800, 11461, 18223, 14580, 20910, 15213, 64294, 17984, 14681, 16202, 17999, 14184, 14870, 14182, 20586, 14183, 225849, 76510, 19353, 20370, 22129, 18212, 19229, 14357, 20266, 140570, 14299, 234593, 14567, 13609, 18483, 11444, 58208, 51791, 66049, 20562, 16911, 110197, 245880, 11840, 66725, 19089, 18479, 76901, 26913, 19339, 77582, 319504, 240058, 14360, 57754, 13728, 12570, 15114, 15251, 12891, 15902, 18125, 23969, 13004, 52906, 50849, 30960, 70530, 211134, 12387, 12386, 11820, 30948, 22388, 13385, 26417, 30957, 22187, 224045, 11815, 20512, 28000, 60597, 13643, 17760, 56320, 17762, 108124, 18762, 208643, 69807, 20983, 50785, 74653, 58235, 104156, 110147, 18619, 14810, 71918, 75104, 76454, 18164, 14026, 107448, 54712, 19699, 192157, 19417, 19415, 21770, 68094, 14828, 103551, 26562, 73340, 16476, 93686, 228880, 19158, 50932, 17919, 16467, 80906, 11658, 50914, 606496, 108699, 53972, 14733, 56177, 14228, 12808, 12805, 228357, 11540, 12801, 382056, 67916, 23999, 226778, 75770, 13367, 66993, 233552, 70762, 67468, 16452, 22223, 231580, 57138, 12569, 22422, 231672, 225875, 19259, 16570, 108902, 73710, 13803, 12759, 26396, 217124, 110596, 26395, 59058, 171469, 16728, 16825, 12933, 12934, 94185, 110351, 243300, 20720, 19268, 19262, 21844, 12323, 229791, 216856, 14457, 20320, 242443, 22240, 17967, 227634, 22339, 20616, 19277, 233033, 20614, 21858, 106298, 19272, 11785, 227325, 20312, 320563, 17974, 320165, 12317	923	1638	18082	2.427878249113352	2.032368920290352E-30	1.016184460145176E-30	5.9054387235610185E-31
GOTERM_BP_ALL	GO:0031175~neuron projection development	141	13.919052319842054	1.0357133591655861E-32	108100, 20807, 14810, 234267, 14270, 11461, 76454, 14026, 18164, 107448, 54712, 18223, 20910, 14580, 19699, 64294, 17984, 19417, 14681, 19415, 16202, 14184, 17999, 21770, 14182, 14183, 14828, 225849, 26562, 19353, 20370, 18212, 73340, 93686, 16476, 228880, 19158, 50932, 17919, 16467, 19229, 11658, 20266, 140570, 606496, 108699, 14567, 234593, 53972, 18483, 11444, 58208, 56177, 12808, 14228, 12805, 20562, 228357, 11540, 11840, 12801, 66725, 382056, 19089, 18479, 76901, 23999, 75770, 13367, 26913, 19339, 233552, 319504, 240058, 14360, 13728, 16452, 22223, 15114, 12891, 231580, 23969, 57138, 13004, 52906, 12569, 22422, 231672, 225875, 30960, 19259, 16570, 211134, 70530, 108902, 12386, 11820, 13803, 12759, 13385, 26396, 217124, 30957, 22187, 110596, 26395, 59058, 16728, 12933, 12934, 243300, 11815, 20720, 19268, 60597, 17760, 13643, 56320, 17762, 21844, 18762, 12323, 229791, 216856, 14457, 20320, 242443, 22240, 17967, 227634, 69807, 20616, 19277, 22339, 106298, 19272, 11785, 320563, 20983, 58235, 17974	923	921	18082	2.999191843619976	6.998315167881866E-29	2.3327717226272887E-29	2.0334950500123616E-29
GOTERM_BP_ALL	GO:0048699~generation of neurons	190	18.756169792694966	3.803516848624173E-32	83701, 108100, 20807, 71918, 14810, 75104, 234267, 14270, 16800, 11461, 76454, 14026, 18164, 107448, 54712, 18223, 14580, 20910, 15213, 19699, 64294, 17984, 19417, 14681, 19415, 16202, 17999, 14184, 21770, 68094, 14182, 14183, 14828, 103551, 225849, 76510, 26562, 19353, 20370, 18212, 22129, 73340, 93686, 16476, 228880, 19158, 50932, 17919, 16467, 80906, 19229, 14357, 11658, 20266, 50914, 606496, 140570, 108699, 14299, 234593, 14567, 13609, 53972, 18483, 11444, 58208, 51791, 56177, 14228, 12808, 12805, 20562, 16911, 110197, 11540, 228357, 11840, 12801, 66725, 382056, 19089, 18479, 76901, 23999, 75770, 226778, 13367, 66993, 26913, 19339, 233552, 70762, 319504, 240058, 14360, 67468, 13728, 57754, 16452, 12570, 22223, 15114, 15251, 12891, 231580, 15902, 18125, 23969, 13004, 57138, 52906, 12569, 22422, 50849, 231672, 225875, 30960, 19259, 16570, 70530, 211134, 108902, 73710, 12387, 12386, 11820, 30948, 13803, 12759, 22388, 13385, 26396, 217124, 30957, 26395, 22187, 110596, 59058, 171469, 16728, 16825, 12933, 12934, 94185, 110351, 243300, 11815, 20512, 60597, 20720, 19268, 28000, 17760, 13643, 19262, 56320, 17762, 21844, 108124, 12323, 18762, 229791, 216856, 14457, 20320, 242443, 22240, 208643, 17967, 69807, 227634, 22339, 233033, 20616, 19277, 20614, 21858, 106298, 19272, 11785, 20312, 320563, 20983, 50785, 74653, 110147, 58235, 104156, 17974, 12317	923	1526	18082	2.439179892339215	2.5700363346153537E-28	6.425090836538384E-29	7.467734789620802E-29
GOTERM_BP_ALL	GO:0030182~neuron differentiation	174	17.17670286278381	5.78948446099946E-30	108100, 20807, 14810, 75104, 234267, 14270, 11461, 76454, 14026, 18164, 107448, 54712, 18223, 14580, 20910, 15213, 19699, 64294, 17984, 19417, 14681, 19415, 16202, 17999, 14184, 21770, 68094, 14182, 14183, 14828, 103551, 225849, 76510, 26562, 19353, 20370, 18212, 22129, 73340, 93686, 16476, 228880, 19158, 50932, 17919, 16467, 80906, 19229, 14357, 11658, 20266, 50914, 606496, 140570, 108699, 14299, 234593, 14567, 13609, 53972, 18483, 11444, 58208, 56177, 12808, 14228, 12805, 20562, 16911, 110197, 11540, 228357, 11840, 12801, 66725, 382056, 19089, 18479, 76901, 23999, 75770, 13367, 26913, 19339, 233552, 70762, 319504, 240058, 14360, 67468, 13728, 57754, 16452, 22223, 15114, 15251, 12891, 231580, 15902, 23969, 57138, 13004, 52906, 12569, 22422, 231672, 225875, 30960, 19259, 16570, 211134, 70530, 108902, 12387, 12386, 11820, 13803, 12759, 13385, 26396, 217124, 30957, 26395, 22187, 110596, 59058, 171469, 16728, 16825, 12933, 12934, 110351, 243300, 11815, 20512, 60597, 20720, 19268, 28000, 17760, 13643, 56320, 17762, 21844, 108124, 18762, 12323, 229791, 216856, 14457, 20320, 242443, 22240, 208643, 17967, 69807, 227634, 22339, 20616, 19277, 233033, 20614, 21858, 106298, 19272, 11785, 320563, 20983, 50785, 110147, 58235, 104156, 17974, 12317	923	1379	18082	2.4718934457977855	3.911954650297335E-26	7.82390930059467E-27	1.1366936507462469E-26
GOTERM_BP_ALL	GO:0048666~neuron development	149	14.708785784797632	4.688441449136245E-29	108100, 20807, 14810, 234267, 14270, 11461, 76454, 14026, 18164, 107448, 54712, 18223, 20910, 14580, 15213, 19699, 64294, 17984, 19417, 14681, 19415, 16202, 14184, 17999, 21770, 14182, 14183, 14828, 225849, 26562, 19353, 20370, 18212, 73340, 93686, 16476, 228880, 19158, 50932, 17919, 16467, 19229, 80906, 11658, 20266, 140570, 606496, 108699, 234593, 14567, 53972, 18483, 11444, 58208, 56177, 12808, 14228, 12805, 20562, 110197, 228357, 11540, 11840, 12801, 66725, 382056, 19089, 18479, 76901, 23999, 75770, 13367, 26913, 19339, 233552, 70762, 319504, 240058, 14360, 13728, 16452, 22223, 15114, 12891, 231580, 15902, 23969, 57138, 13004, 52906, 12569, 22422, 231672, 225875, 30960, 19259, 16570, 211134, 70530, 108902, 12386, 11820, 13803, 12759, 13385, 26396, 217124, 30957, 22187, 110596, 26395, 59058, 16728, 12933, 12934, 243300, 20512, 11815, 60597, 20720, 19268, 17760, 13643, 56320, 17762, 21844, 18762, 12323, 229791, 216856, 14457, 20320, 242443, 22240, 17967, 227634, 69807, 20616, 19277, 233033, 22339, 106298, 19272, 11785, 320563, 20983, 50785, 58235, 17974	923	1092	18082	2.6730580722996757	3.167979887181361E-25	5.279966478635602E-26	9.205174766474253E-26
GOTERM_BP_ALL	GO:0051179~localization	442	43.63277393879565	4.744882086882932E-28	27062, 20807, 71795, 110355, 14270, 94090, 16800, 11480, 20907, 140559, 320007, 19346, 19345, 20910, 14580, 13854, 58226, 14681, 216892, 14683, 16202, 14182, 20586, 14183, 11490, 19353, 56494, 14387, 19215, 19229, 338370, 67588, 20266, 140570, 71770, 14299, 14567, 140579, 12971, 333433, 232333, 12876, 20254, 26914, 20562, 16911, 14086, 71764, 14697, 244723, 19339, 20661, 12889, 13829, 104111, 22003, 14360, 13728, 13821, 20536, 26943, 15114, 67665, 15251, 381290, 170790, 73658, 52906, 243616, 68449, 230082, 69635, 13385, 20866, 78891, 94249, 20965, 237253, 74772, 57295, 20516, 14252, 110279, 27041, 78339, 20512, 57266, 60597, 28000, 20515, 20510, 70661, 108124, 20970, 226517, 20972, 20974, 20975, 20977, 69807, 26950, 20527, 67398, 20525, 381677, 242662, 17237, 14658, 67095, 24064, 20844, 20983, 74754, 74653, 58235, 104156, 383103, 14799, 94332, 75104, 192662, 67826, 76454, 54712, 319984, 83674, 382571, 16549, 12520, 270162, 19699, 19419, 54609, 192157, 19417, 54725, 12794, 22317, 16476, 93686, 93687, 228880, 53881, 80906, 16467, 108911, 103583, 54161, 241770, 13371, 224727, 224807, 73102, 56177, 19122, 14228, 99738, 12805, 228357, 12801, 114128, 13367, 75234, 70762, 69091, 11933, 11932, 14421, 11938, 13426, 16452, 22223, 66237, 59049, 70727, 214597, 19387, 53331, 231580, 54003, 52850, 100503659, 270066, 192292, 72055, 12569, 11981, 213990, 19259, 16570, 53421, 53420, 73710, 80976, 13483, 12759, 72978, 58194, 20334, 12554, 53317, 12934, 227648, 106947, 270192, 19268, 21849, 21844, 22348, 19261, 67602, 11966, 12323, 20320, 22240, 192170, 19275, 19276, 22339, 19277, 16593, 22234, 16594, 53817, 230673, 70093, 319613, 19272, 20312, 107338, 73826, 12315, 320165, 74270, 12317, 11975, 11972, 56085, 59095, 18747, 234267, 12215, 74552, 11732, 269994, 21833, 22139, 17984, 54393, 22134, 234076, 105727, 17999, 72961, 18739, 104886, 98396, 18212, 68299, 72930, 11852, 56224, 234593, 13609, 56228, 18484, 18483, 11444, 57741, 51791, 72727, 98660, 11749, 12465, 11840, 66725, 18479, 53413, 77582, 56807, 207728, 319504, 12462, 57754, 53412, 12570, 11911, 74412, 22378, 105245, 18125, 23969, 70296, 16796, 30960, 11829, 12387, 12386, 11820, 22185, 30948, 224824, 108058, 384783, 22388, 99296, 215335, 30957, 26417, 26416, 22187, 16498, 11815, 76740, 72003, 17760, 56320, 17762, 18762, 22393, 54644, 67819, 66109, 11517, 74330, 64176, 72685, 11803, 19894, 268345, 13653, 54387, 233877, 18752, 11416, 18133, 15516, 11419, 74204, 74342, 12282, 16783, 67800, 54411, 12297, 14810, 12295, 11539, 26556, 14026, 18164, 22084, 226849, 218038, 26569, 14828, 433702, 81904, 81905, 17304, 50932, 17919, 76267, 606496, 56695, 51812, 109934, 15898, 235281, 15481, 216810, 71310, 11545, 11540, 76252, 67916, 218811, 75770, 226778, 23999, 71810, 217449, 67468, 64209, 56473, 218194, 27373, 72322, 15467, 77574, 225362, 18709, 11772, 11771, 11776, 57138, 67458, 11775, 55992, 245860, 75751, 18195, 18190, 26396, 22642, 67443, 27226, 217124, 110213, 11764, 217127, 26395, 68192, 16825, 94185, 71446, 110351, 20720, 15444, 18951, 64652, 26383, 216856, 26385, 242443, 215085, 17967, 57440, 20616, 20614, 16011, 72585, 11785, 26372, 26373, 57912, 11784, 17974, 432486, 71853, 55963, 217310	923	5623	18082	1.5399228019727829	3.206116826106797E-24	4.580166894438281E-25	9.315988976276369E-25
GOTERM_BP_ALL	GO:0051234~establishment of localization	371	36.62388943731491	1.1404673927835564E-26	59095, 27062, 18747, 71795, 110355, 94090, 16800, 11480, 12215, 74552, 20907, 11732, 320007, 269994, 19346, 21833, 19345, 20910, 14580, 13854, 22139, 58226, 54393, 14681, 22134, 234076, 216892, 14683, 105727, 17999, 72961, 18739, 14182, 14183, 104886, 19353, 56494, 98396, 18212, 68299, 19215, 72930, 19229, 338370, 11852, 20266, 71770, 56224, 14567, 234593, 14299, 140579, 56228, 18484, 18483, 12971, 333433, 232333, 11444, 57741, 51791, 72727, 98660, 26914, 11749, 20562, 12465, 71764, 14697, 11840, 244723, 66725, 18479, 19339, 53413, 56807, 20661, 207728, 12889, 13829, 12462, 53412, 12570, 11911, 20536, 26943, 15114, 67665, 74412, 22378, 105245, 15251, 381290, 170790, 18125, 73658, 23969, 70296, 52906, 243616, 68449, 16796, 230082, 30960, 11829, 69635, 12387, 22185, 11820, 30948, 108058, 224824, 384783, 22388, 13385, 99296, 20866, 215335, 30957, 26417, 26416, 22187, 78891, 94249, 20965, 74772, 237253, 20516, 110279, 14252, 27041, 78339, 16498, 20512, 11815, 60597, 20515, 76740, 20510, 72003, 17760, 56320, 17762, 108124, 18762, 22393, 54644, 67819, 226517, 11517, 20972, 66109, 20974, 20977, 74330, 64176, 72685, 26950, 11803, 20527, 19894, 67398, 20525, 268345, 381677, 242662, 17237, 14658, 67095, 54387, 18752, 11416, 24064, 15516, 18133, 20983, 20844, 58235, 11419, 74204, 383103, 74342, 12282, 14799, 16783, 54411, 12297, 14810, 12295, 67826, 11539, 18164, 26556, 319984, 83674, 382571, 16549, 12520, 22084, 270162, 19699, 19419, 54609, 19417, 226849, 218038, 26569, 14828, 54725, 12794, 22317, 433702, 81904, 81905, 16476, 93687, 53881, 17304, 50932, 17919, 80906, 76267, 16467, 606496, 108911, 103583, 54161, 56695, 109934, 15898, 235281, 241770, 13371, 15481, 216810, 224727, 73102, 224807, 19122, 14228, 71310, 99738, 11545, 12805, 11540, 228357, 12801, 76252, 218811, 75770, 114128, 13367, 75234, 71810, 69091, 217449, 11933, 11932, 13426, 11938, 64209, 16452, 56473, 22223, 66237, 27373, 59049, 214597, 19387, 72322, 15467, 53331, 231580, 77574, 225362, 11772, 18709, 54003, 11771, 52850, 11776, 57138, 270066, 100503659, 67458, 192292, 11775, 72055, 12569, 55992, 11981, 245860, 75751, 213990, 19259, 16570, 53421, 53420, 80976, 18195, 13483, 12759, 18190, 26396, 22642, 67443, 217124, 110213, 72978, 11764, 58194, 20334, 26395, 68192, 12554, 12934, 227648, 94185, 71446, 110351, 106947, 20720, 270192, 15444, 18951, 21849, 64652, 21844, 22348, 19261, 67602, 11966, 12323, 216856, 26385, 242443, 215085, 17967, 192170, 57440, 19275, 19276, 20616, 22339, 20614, 22234, 16593, 16594, 53817, 230673, 70093, 319613, 11785, 26372, 20312, 57912, 26373, 107338, 12315, 73826, 11784, 17974, 74270, 12317, 432486, 11975, 71853, 217310, 56085, 55963, 11972	923	4467	18082	1.6270568252898772	7.70613817303849E-23	9.632672716298113E-24	2.239166635635807E-23
GOTERM_BP_ALL	GO:0051960~regulation of nervous system development	128	12.635735439289238	1.500084459493414E-25	83701, 108100, 20807, 18747, 71918, 14810, 75104, 18749, 14270, 16800, 76454, 54712, 18223, 14580, 19699, 15213, 64294, 19415, 16202, 14184, 17999, 21770, 14182, 14828, 225849, 19353, 20370, 18212, 22129, 228880, 19158, 17919, 19229, 14357, 65945, 20266, 140570, 606496, 108699, 14299, 14567, 234593, 53972, 18483, 11444, 12876, 51791, 58208, 56177, 12808, 14228, 12805, 20562, 228357, 245880, 11840, 12801, 216028, 66725, 382056, 19089, 18479, 76901, 23999, 66993, 233552, 319504, 240058, 14360, 67468, 57754, 13728, 15114, 15251, 12891, 231580, 15902, 18125, 23969, 52906, 107831, 12569, 50849, 22422, 231672, 19259, 16570, 211134, 12387, 11820, 30948, 13803, 22388, 26396, 30957, 26395, 171469, 16728, 12933, 12934, 94185, 110351, 20720, 19268, 28000, 19262, 56320, 21844, 17762, 12323, 216856, 20320, 22240, 208643, 69807, 22339, 20614, 21858, 106298, 11785, 20312, 320563, 16981, 20983, 58235, 104156, 74342, 12317	923	922	18082	2.719717604811247	1.0136070692796998E-21	1.1262300769774444E-22	2.9452302569871917E-22
GOTERM_BP_ALL	GO:0006810~transport	358	35.3405725567621	3.5144553784595845E-25	59095, 27062, 18747, 71795, 110355, 94090, 11480, 12215, 74552, 20907, 11732, 320007, 269994, 19346, 21833, 19345, 20910, 14580, 13854, 22139, 58226, 54393, 14681, 22134, 234076, 216892, 14683, 105727, 17999, 72961, 18739, 14182, 14183, 104886, 19353, 56494, 98396, 18212, 68299, 19215, 72930, 19229, 338370, 11852, 20266, 71770, 14567, 234593, 14299, 140579, 56228, 18484, 18483, 12971, 333433, 232333, 11444, 57741, 51791, 72727, 98660, 11749, 12465, 71764, 14697, 11840, 244723, 66725, 18479, 19339, 53413, 56807, 20661, 207728, 12889, 13829, 12462, 53412, 12570, 11911, 20536, 26943, 15114, 74412, 105245, 15251, 381290, 170790, 18125, 73658, 23969, 70296, 52906, 243616, 68449, 16796, 230082, 30960, 11829, 69635, 12387, 22185, 11820, 30948, 108058, 224824, 384783, 22388, 13385, 99296, 20866, 215335, 30957, 26417, 26416, 22187, 78891, 94249, 20965, 74772, 237253, 20516, 110279, 27041, 78339, 16498, 20512, 11815, 60597, 20515, 20510, 72003, 17760, 56320, 17762, 108124, 18762, 22393, 54644, 67819, 226517, 11517, 20972, 66109, 20974, 20977, 74330, 64176, 72685, 26950, 11803, 20527, 19894, 67398, 20525, 268345, 381677, 242662, 17237, 14658, 67095, 54387, 18752, 11416, 15516, 18133, 20983, 20844, 58235, 11419, 74204, 383103, 74342, 12282, 14799, 16783, 54411, 12297, 14810, 12295, 67826, 11539, 18164, 26556, 319984, 83674, 382571, 16549, 12520, 22084, 270162, 19699, 19419, 54609, 19417, 218038, 26569, 14828, 54725, 12794, 22317, 433702, 81904, 81905, 16476, 93687, 53881, 17304, 50932, 17919, 80906, 76267, 16467, 606496, 103583, 54161, 56695, 109934, 15898, 235281, 241770, 13371, 15481, 216810, 224727, 73102, 224807, 19122, 14228, 71310, 99738, 11545, 12805, 11540, 228357, 12801, 76252, 218811, 75770, 114128, 13367, 75234, 71810, 69091, 217449, 11933, 11932, 13426, 11938, 64209, 16452, 56473, 22223, 66237, 27373, 59049, 214597, 19387, 72322, 15467, 53331, 231580, 77574, 225362, 11772, 18709, 54003, 11771, 52850, 11776, 57138, 270066, 100503659, 67458, 192292, 11775, 72055, 12569, 55992, 11981, 245860, 75751, 213990, 19259, 16570, 53421, 53420, 80976, 18195, 13483, 12759, 18190, 26396, 22642, 67443, 110213, 72978, 11764, 58194, 20334, 26395, 68192, 12554, 12934, 227648, 94185, 110351, 106947, 20720, 270192, 15444, 18951, 21849, 64652, 21844, 22348, 19261, 67602, 11966, 12323, 216856, 26385, 242443, 215085, 17967, 192170, 57440, 19275, 19276, 20616, 22339, 20614, 22234, 16593, 16594, 53817, 230673, 70093, 319613, 11785, 26372, 20312, 57912, 26373, 107338, 12315, 73826, 11784, 17974, 74270, 12317, 432486, 11975, 71853, 217310, 56085, 55963, 11972	923	4325	18082	1.6215923195911797	2.3747174992251412E-21	2.3747174992251416E-22	6.900198353475432E-22
