Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0044260~cellular macromolecule metabolic process	373	56.94656488549619	3.799843420151758E-19	72754, 22770, 76007, 77781, 319901, 12211, 100041230, 14272, 328329, 14586, 55949, 232164, 12017, 21834, 71592, 269261, 67025, 20042, 110651, 20815, 320799, 71175, 15531, 20918, 22284, 20238, 66155, 18213, 56490, 15204, 107746, 22121, 19211, 109333, 57775, 71779, 12457, 68837, 109095, 21417, 106763, 72931, 232341, 18209, 21411, 20361, 26921, 328572, 211673, 12704, 71389, 66313, 26408, 19726, 320129, 20658, 12607, 20068, 70611, 83925, 78832, 74996, 382253, 233833, 14083, 18477, 66725, 22661, 21402, 213109, 66923, 226407, 51788, 231866, 110593, 102141, 110954, 51789, 269254, 14897, 269252, 320808, 100710, 245007, 19090, 11352, 279561, 240055, 665433, 246293, 67661, 56205, 237860, 16798, 192119, 11835, 246198, 18789, 73274, 15258, 15257, 100019, 20005, 15259, 50755, 65019, 105638, 211652, 110521, 74521, 214627, 66549, 27176, 72661, 17751, 26936, 13383, 228852, 22385, 223989, 244650, 74326, 22381, 50768, 20687, 72399, 235626, 11431, 67671, 236732, 68052, 109910, 107686, 67186, 26440, 81702, 26441, 26442, 66413, 232286, 15273, 20021, 15505, 224860, 26444, 67281, 93736, 319817, 99375, 68036, 14265, 67397, 12289, 77771, 98999, 26430, 217194, 70675, 27050, 67945, 103236, 24061, 71521, 20843, 20115, 19899, 12283, 20018, 18616, 16785, 107045, 329152, 20103, 50791, 20104, 75788, 14815, 20191, 98221, 18015, 12914, 26554, 23857, 70354, 23856, 321006, 22083, 414872, 319159, 140810, 319157, 16341, 241568, 319158, 227867, 69737, 66475, 68744, 207785, 319155, 319156, 396184, 269700, 114715, 16969, 100683, 14828, 70369, 66480, 64930, 14109, 66481, 207592, 74256, 108946, 319168, 66489, 76179, 19017, 319974, 108954, 231051, 26451, 93683, 210973, 68734, 319160, 26987, 319161, 387314, 16764, 319164, 319165, 107568, 319166, 319167, 71745, 18993, 17156, 232906, 11553, 59026, 59029, 12785, 30945, 320878, 326619, 233902, 17920, 16367, 326622, 326620, 66395, 66663, 77044, 193116, 319171, 319172, 74374, 381022, 80913, 66997, 29869, 272381, 76199, 58521, 56422, 19981, 27207, 17938, 106583, 244349, 14423, 54201, 64340, 76808, 19246, 69257, 20742, 231876, 213452, 68991, 19933, 19241, 19386, 102323, 319191, 433938, 24136, 319192, 107508, 26891, 18570, 18708, 319195, 12421, 60532, 218397, 17847, 192195, 14339, 19181, 226751, 242466, 192198, 19184, 18706, 12753, 22214, 13209, 107515, 269181, 70223, 15194, 72465, 170711, 69386, 19053, 327987, 69587, 18685, 58799, 22027, 101471, 16975, 21848, 67236, 20620, 100503670, 207806, 15161, 66354, 226470, 21454, 104570, 20227, 11797, 19166, 19777, 56459, 20592, 77559, 78294, 242960, 19946, 109263, 381305, 20088, 16412, 12633, 19271, 12848, 54446, 69562, 226641, 207304, 26374, 20085, 216848, 19179, 19173, 19172, 114641, 76846, 11789, 17978, 59079, 17979, 19941, 20316, 67427, 80750, 19170	599	8068	18128	1.399155591495659	1.9899779991334757E-15	1.9899779991334757E-15	7.266576075692666E-16
GOTERM_BP_ALL	GO:0071840~cellular component organization or biogenesis	303	46.25954198473283	6.936513924563289E-19	72754, 76007, 12211, 100041230, 14272, 18845, 68024, 269261, 67025, 77980, 109241, 71175, 75409, 22284, 22288, 18213, 218210, 107746, 192786, 235439, 22121, 19211, 109333, 320528, 12457, 52028, 76707, 106763, 72931, 11855, 18209, 20361, 26921, 328572, 211673, 12704, 71389, 22253, 19726, 19221, 20658, 20068, 18102, 234094, 74996, 18711, 382253, 14083, 74998, 53612, 20356, 66725, 22661, 21402, 66923, 226407, 51788, 110954, 68519, 51789, 269254, 14897, 100710, 19090, 11352, 279561, 75964, 665433, 11838, 67661, 56205, 237860, 16798, 227937, 192119, 11835, 217893, 246198, 66537, 16500, 15257, 100019, 11426, 23966, 67263, 98741, 74117, 210108, 214627, 27176, 17751, 13383, 319934, 228852, 242274, 22385, 228432, 223989, 50768, 102693, 328580, 235626, 67671, 432530, 245446, 107686, 16492, 232286, 15505, 208898, 99167, 20975, 11512, 17196, 14265, 242667, 270120, 52392, 170644, 13518, 70675, 27050, 103236, 24061, 71521, 20843, 20115, 12283, 20018, 74205, 16785, 56191, 14811, 20103, 50791, 333605, 20104, 75788, 14815, 360013, 23859, 98221, 18015, 12914, 26554, 70549, 321006, 22083, 319159, 319157, 140810, 319158, 11941, 241568, 16341, 227867, 83679, 69737, 14020, 75909, 21960, 17909, 83671, 319155, 319156, 396184, 100683, 11668, 14828, 70369, 64930, 66481, 233919, 207592, 71435, 233335, 74256, 319168, 66489, 19017, 101314, 319974, 231051, 239985, 68732, 75617, 319160, 319161, 240614, 319164, 319165, 319166, 319167, 232906, 59026, 109294, 320878, 326619, 17920, 16367, 208846, 12405, 17925, 225288, 326620, 241589, 66395, 77044, 193116, 26875, 319171, 319172, 74374, 381022, 80913, 16553, 29869, 272381, 16880, 56422, 58521, 244349, 20742, 56471, 19246, 231876, 219228, 19241, 17136, 319191, 20743, 319192, 24136, 18708, 12421, 218397, 104303, 17847, 192195, 14339, 20203, 19181, 226751, 109676, 74192, 242466, 78287, 192198, 18704, 19184, 18706, 23805, 16572, 16573, 13209, 72313, 69582, 15194, 78798, 69386, 19053, 74392, 69178, 58799, 22027, 619605, 12741, 22342, 16975, 100503670, 20620, 15161, 66354, 12321, 20496, 21454, 20227, 11797, 53598, 19777, 56459, 20592, 109263, 17101, 381305, 20088, 16412, 12633, 19271, 22239, 207304, 18810, 74479, 20085, 170738, 216848, 19179, 100502698, 11881, 11789, 17979, 19941, 20316	599	6053	18128	1.5149385767953472	3.6326523422937945E-15	1.8163261711468972E-15	1.3264942935708542E-15
GOTERM_BP_ALL	GO:0016043~cellular component organization	296	45.19083969465649	1.2735080210817358E-18	72754, 76007, 12211, 100041230, 14272, 18845, 68024, 269261, 67025, 77980, 109241, 71175, 75409, 22284, 22288, 18213, 218210, 107746, 192786, 235439, 22121, 109333, 19211, 320528, 12457, 52028, 76707, 106763, 72931, 11855, 18209, 20361, 26921, 328572, 211673, 12704, 71389, 22253, 19726, 19221, 20658, 20068, 18102, 234094, 74996, 18711, 382253, 14083, 74998, 53612, 20356, 66725, 22661, 21402, 66923, 226407, 51788, 110954, 68519, 51789, 269254, 14897, 100710, 19090, 11352, 279561, 75964, 665433, 11838, 67661, 56205, 237860, 16798, 227937, 192119, 11835, 217893, 246198, 66537, 16500, 15257, 100019, 11426, 23966, 67263, 98741, 74117, 210108, 214627, 17751, 13383, 319934, 228852, 242274, 22385, 228432, 223989, 50768, 102693, 328580, 235626, 67671, 432530, 245446, 107686, 16492, 232286, 15505, 208898, 99167, 20975, 11512, 17196, 14265, 242667, 270120, 52392, 170644, 13518, 70675, 27050, 103236, 24061, 71521, 20843, 12283, 20018, 74205, 16785, 56191, 14811, 20103, 50791, 333605, 20104, 75788, 14815, 360013, 23859, 98221, 18015, 12914, 26554, 70549, 321006, 22083, 319159, 319157, 140810, 319158, 11941, 241568, 16341, 227867, 83679, 69737, 14020, 75909, 21960, 17909, 83671, 319155, 319156, 396184, 100683, 11668, 14828, 70369, 64930, 233919, 207592, 71435, 233335, 74256, 319168, 19017, 101314, 319974, 231051, 239985, 68732, 75617, 319160, 319161, 240614, 319164, 319165, 319166, 319167, 232906, 59026, 109294, 320878, 326619, 17920, 16367, 208846, 12405, 17925, 225288, 326620, 241589, 66395, 77044, 193116, 26875, 319171, 319172, 74374, 381022, 80913, 16553, 29869, 272381, 16880, 56422, 58521, 244349, 20742, 56471, 19246, 231876, 219228, 19241, 17136, 319191, 20743, 319192, 24136, 18708, 12421, 218397, 104303, 17847, 192195, 14339, 20203, 19181, 226751, 109676, 74192, 242466, 78287, 192198, 18704, 19184, 18706, 23805, 16572, 16573, 13209, 72313, 69582, 15194, 78798, 69386, 19053, 74392, 69178, 58799, 22027, 619605, 12741, 22342, 16975, 100503670, 20620, 15161, 66354, 12321, 20496, 21454, 20227, 11797, 53598, 19777, 56459, 20592, 109263, 17101, 381305, 16412, 12633, 19271, 22239, 207304, 18810, 74479, 20085, 170738, 216848, 19179, 100502698, 11881, 11789, 17979	599	5881	18128	1.5232233964730084	6.669361506405051E-15	2.223120502135017E-15	2.4353748023190036E-15
GOTERM_BP_ALL	GO:0044267~cellular protein metabolic process	246	37.55725190839695	1.39488757287878E-17	12211, 14272, 328329, 14586, 55949, 12017, 232164, 269261, 67025, 20042, 110651, 20815, 71175, 15531, 20918, 22284, 66155, 18213, 15204, 107746, 22121, 109333, 19211, 57775, 71779, 106763, 232341, 20361, 26921, 328572, 12704, 211673, 66313, 26408, 320129, 20068, 70611, 78832, 74996, 382253, 14083, 233833, 18477, 66725, 21402, 226407, 110954, 102141, 51789, 269254, 14897, 320808, 11352, 19090, 279561, 240055, 246293, 56205, 237860, 16798, 11835, 192119, 246198, 15258, 15257, 20005, 15259, 50755, 65019, 105638, 211652, 74521, 72661, 27176, 17751, 13383, 26936, 228852, 22385, 244650, 74326, 50768, 72399, 235626, 67671, 11431, 68052, 109910, 67186, 26440, 26441, 26442, 66413, 232286, 15505, 224860, 26444, 67281, 319817, 68036, 99375, 14265, 67397, 217194, 70675, 27050, 67945, 103236, 20115, 19899, 12283, 16785, 107045, 329152, 20103, 20104, 50791, 75788, 98221, 18015, 26554, 12914, 70354, 321006, 22083, 414872, 140810, 241568, 16341, 227867, 69737, 66475, 269700, 396184, 114715, 100683, 14828, 70369, 66480, 14109, 64930, 66481, 74256, 66489, 19017, 76179, 319974, 108954, 231051, 26451, 210973, 68734, 26987, 107568, 71745, 17156, 11553, 59026, 59029, 30945, 233902, 66663, 74374, 381022, 80913, 66997, 29869, 272381, 56422, 58521, 19981, 27207, 244349, 14423, 76808, 20742, 19246, 231876, 213452, 68991, 19933, 19386, 102323, 24136, 107508, 26891, 18570, 319195, 18708, 12421, 218397, 17847, 192195, 14339, 19181, 226751, 192198, 19184, 18706, 12753, 13209, 22214, 269181, 15194, 70223, 170711, 19053, 58799, 22027, 16975, 21848, 100503670, 20620, 207806, 15161, 66354, 104570, 11797, 19166, 56459, 20592, 78294, 242960, 19946, 109263, 381305, 20088, 16412, 12633, 19271, 12848, 69562, 207304, 26374, 20085, 19179, 19173, 19172, 114641, 11789, 76846, 19941, 80750, 67427, 20316, 19170	599	4618	18128	1.6121455493528625	7.305026219166171E-14	1.826256554791543E-14	2.6674932476446993E-14
GOTERM_BP_ALL	GO:0044237~cellular metabolic process	417	63.664122137404576	4.229020815012855E-15	319901, 77781, 100041230, 14272, 328329, 14586, 55949, 232164, 71592, 67025, 20042, 20815, 20918, 20238, 56490, 15204, 107746, 22121, 109333, 19211, 71779, 52028, 21417, 232341, 21411, 20361, 26921, 328572, 12704, 211673, 66313, 320129, 20658, 12607, 20068, 70611, 78832, 74996, 382253, 14083, 21402, 226407, 231866, 102141, 110954, 14897, 320808, 100710, 245007, 246293, 67661, 192119, 246198, 219135, 15258, 15257, 100019, 20005, 15259, 50755, 211652, 66549, 27176, 13383, 26936, 223989, 244650, 13885, 50768, 20687, 67671, 109910, 208449, 107686, 67186, 81702, 66413, 232286, 15273, 20021, 67281, 20975, 319817, 14265, 67397, 77771, 170644, 217194, 27050, 67945, 103236, 71521, 24061, 20843, 20115, 20018, 241289, 329152, 20103, 20104, 50791, 23859, 12914, 23857, 23856, 319159, 140810, 319157, 16341, 11941, 241568, 319158, 227867, 69737, 66475, 68744, 83671, 319155, 319156, 269700, 66480, 14109, 66481, 74256, 108946, 319168, 66489, 19017, 108954, 319974, 68732, 93683, 68734, 319160, 319161, 319164, 319165, 107568, 319166, 319167, 232906, 59026, 59029, 12785, 320878, 326619, 16367, 326622, 326620, 66395, 66663, 319171, 319172, 74374, 215821, 381022, 80913, 66997, 29869, 272381, 29863, 19981, 106583, 224129, 244349, 14423, 12764, 19246, 231876, 213452, 19933, 266690, 19241, 19386, 102323, 319191, 319192, 24136, 107508, 18570, 319195, 12421, 60532, 192195, 14339, 20203, 19181, 192198, 18573, 19184, 12753, 13209, 22214, 107515, 99712, 269181, 19053, 18685, 101471, 21848, 100503670, 207806, 66354, 21454, 20227, 19166, 19777, 20592, 242960, 19946, 16412, 12633, 19271, 12848, 67895, 22239, 207304, 19179, 19173, 19172, 59079, 19941, 80750, 20316, 19170, 72754, 22770, 76007, 12211, 12017, 21834, 269261, 110651, 320799, 71175, 15531, 22284, 243274, 66155, 18213, 57775, 68187, 12457, 68837, 109095, 106763, 72931, 18209, 71389, 26408, 19726, 18102, 83925, 18711, 233833, 18477, 66725, 22661, 213109, 66923, 51788, 110593, 51789, 269254, 269252, 19090, 11352, 279561, 240055, 665433, 56205, 237860, 16798, 11835, 18789, 73274, 68815, 65019, 105638, 110521, 74521, 214627, 72661, 17751, 228852, 22385, 74326, 22381, 72399, 235626, 11431, 236732, 68052, 432530, 26440, 26441, 26442, 15505, 224860, 26444, 93736, 18245, 11512, 68036, 99375, 12289, 98999, 26430, 70675, 19899, 12283, 74205, 18616, 16785, 107045, 14811, 228608, 75788, 14815, 20191, 98221, 18015, 26554, 70354, 321006, 414872, 22083, 207785, 396184, 16969, 114715, 70363, 100683, 11668, 14828, 70369, 64930, 207592, 56445, 76179, 231051, 26451, 210973, 26987, 387314, 16764, 71745, 18993, 17156, 11553, 23984, 30945, 233902, 17920, 77044, 193116, 12183, 76199, 56422, 58521, 27207, 17938, 64340, 54201, 76808, 69257, 20742, 68991, 433938, 26891, 18708, 218397, 104303, 17847, 226751, 242466, 18704, 18706, 70223, 15194, 170439, 72465, 170711, 69386, 327987, 69587, 327655, 58799, 22027, 16975, 67236, 20620, 15161, 237553, 226470, 104570, 11797, 56459, 77559, 78294, 109263, 17101, 381305, 20088, 54446, 69562, 226641, 26374, 20085, 216848, 100502698, 114641, 76846, 11789, 17978, 17979, 67427	599	9823	18128	1.2847392163497582	2.209410432385539E-11	4.4187986603105855E-12	8.071321389024888E-12
GOTERM_BP_ALL	GO:0043170~macromolecule metabolic process	387	59.083969465648856	1.0757798417442499E-14	319901, 77781, 100041230, 14272, 328329, 14586, 55949, 232164, 71592, 67025, 20042, 20815, 20918, 20238, 56490, 15204, 107746, 22121, 109333, 19211, 71779, 21417, 232341, 21411, 20361, 26921, 328572, 12704, 211673, 66313, 320129, 20658, 12607, 20068, 70611, 78832, 74996, 382253, 14083, 21402, 231866, 226407, 110954, 102141, 14897, 320808, 100710, 245007, 246293, 67661, 192119, 246198, 15258, 15257, 100019, 20005, 15259, 50755, 211652, 66549, 27176, 13383, 26936, 69823, 223989, 244650, 50768, 20687, 67671, 109910, 208449, 107686, 67186, 81702, 66413, 232286, 15273, 20021, 67281, 319817, 14265, 67397, 77771, 170644, 217194, 27050, 67945, 103236, 24061, 71521, 20843, 20115, 20018, 20103, 329152, 20104, 50791, 12914, 23857, 23856, 319159, 140810, 319157, 16341, 241568, 319158, 227867, 69737, 66475, 68744, 319155, 319156, 269700, 66480, 14109, 66481, 74256, 108946, 319168, 66489, 19017, 108954, 319974, 93683, 68734, 319160, 319161, 319164, 319165, 107568, 319166, 319167, 232906, 59026, 59029, 12785, 320878, 326619, 16367, 326622, 326620, 66395, 66663, 319171, 319172, 74374, 381022, 80913, 66997, 29869, 272381, 19981, 106583, 244349, 14423, 19246, 231876, 213452, 19933, 19241, 19386, 102323, 319191, 319192, 24136, 107508, 18570, 319195, 60532, 12421, 192195, 20203, 19181, 14339, 109676, 192198, 19184, 23805, 12753, 13209, 22214, 107515, 269181, 19053, 18685, 53319, 101471, 21848, 100503670, 207806, 66354, 21454, 20227, 19166, 19777, 20592, 242960, 19946, 16412, 12633, 19271, 12848, 207304, 19179, 19173, 19172, 59079, 19941, 80750, 20316, 19170, 72754, 22770, 76007, 12211, 12017, 21834, 269261, 110651, 320799, 71175, 15531, 22284, 66155, 18213, 57775, 68837, 12457, 109095, 106763, 72931, 18209, 71389, 26408, 19726, 18102, 83925, 233833, 18477, 66725, 22661, 213109, 66923, 51788, 110593, 51789, 269254, 269252, 19090, 11352, 279561, 240055, 665433, 56205, 237860, 16798, 11835, 18789, 73274, 23966, 105638, 65019, 110521, 74521, 214627, 72661, 17751, 228852, 22385, 74326, 22381, 72399, 235626, 11431, 236732, 68052, 26440, 26441, 26442, 15505, 224860, 26444, 93736, 18245, 68036, 99375, 12289, 98999, 26430, 70675, 19899, 12283, 18616, 16785, 107045, 14811, 75788, 14815, 20191, 98221, 18015, 26554, 70354, 321006, 414872, 22083, 207785, 396184, 16969, 114715, 100683, 14828, 70369, 64930, 207592, 76179, 231051, 26451, 210973, 26987, 387314, 16764, 18993, 71745, 17156, 11553, 30945, 233902, 17920, 77044, 193116, 12183, 76199, 56422, 58521, 27207, 17938, 64340, 54201, 76808, 69257, 20742, 68991, 433938, 26891, 18708, 218397, 17847, 226751, 242466, 18706, 70223, 15194, 72465, 170711, 69386, 327987, 69587, 72201, 58799, 22027, 16975, 67236, 20620, 15161, 237553, 226470, 104570, 11797, 56459, 77559, 78294, 109263, 20088, 381305, 54446, 69562, 226641, 26374, 20085, 216848, 114641, 76846, 11789, 17978, 17979, 67427	599	8918	18128	1.313307931549218	5.6398108405630865E-11	9.399703237988888E-12	2.0594637106796654E-11
GOTERM_BP_ALL	GO:0048523~negative regulation of cellular process	231	35.26717557251908	1.5730308532985096E-14	22770, 12211, 14272, 100041230, 14586, 12017, 232164, 21834, 110651, 20815, 22782, 320799, 71175, 20238, 243274, 18213, 56490, 107746, 235439, 22121, 19211, 226525, 320528, 12457, 21417, 76707, 232341, 26921, 328572, 12704, 211673, 66313, 19726, 320129, 20658, 18102, 83925, 74996, 14083, 233833, 20356, 66725, 22661, 66923, 231866, 51788, 102141, 269254, 14897, 100710, 245007, 11352, 19090, 279561, 665433, 67661, 56205, 16798, 11835, 192119, 246198, 16500, 68815, 15258, 15257, 15259, 11426, 50755, 105638, 217463, 211652, 74117, 210108, 110521, 74521, 259302, 17751, 13383, 26936, 228852, 223989, 74326, 50768, 20687, 72399, 236732, 68052, 208449, 81702, 232286, 15505, 224860, 18245, 11512, 17196, 68036, 99375, 14265, 67397, 270120, 77771, 52392, 170644, 13518, 27050, 24061, 71521, 20843, 20018, 18616, 56191, 241289, 20104, 50791, 75788, 14815, 360013, 20191, 23859, 18015, 26554, 12914, 321006, 319159, 22083, 319157, 319158, 241568, 21960, 207785, 319155, 83671, 319156, 396184, 16969, 114715, 100683, 14828, 70369, 64930, 74256, 22070, 319168, 19017, 108954, 68732, 319160, 319161, 26987, 319164, 319165, 319166, 107568, 319167, 18993, 232906, 326619, 16367, 225288, 326620, 77044, 319171, 319172, 74374, 215821, 381022, 80913, 29869, 272381, 16880, 58521, 17938, 244349, 20742, 69257, 19246, 19241, 219228, 19386, 319191, 17136, 319192, 24136, 107508, 18570, 18708, 12421, 16443, 218397, 192195, 20203, 109676, 192198, 18704, 19184, 18706, 23805, 12753, 13209, 107515, 16438, 15194, 78798, 170711, 69386, 19053, 74392, 327987, 58799, 22027, 16975, 21848, 20620, 15161, 66354, 11797, 19777, 381305, 16412, 12633, 19271, 12848, 69562, 207304, 19179, 100502698, 11789, 17978, 17979, 59079, 80750	599	4459	18128	1.5678249725471285	8.256217931545962E-11	1.1794565324407813E-11	3.015365734881925E-11
GOTERM_BP_ALL	GO:0043933~macromolecular complex subunit organization	139	21.22137404580153	6.000497601808005E-14	20103, 14811, 50791, 14815, 100041230, 98221, 18015, 12914, 26554, 68024, 321006, 22083, 319159, 319157, 16341, 319158, 83679, 227867, 269261, 67025, 319155, 319156, 71175, 100683, 11668, 64930, 74256, 319168, 101314, 319974, 231051, 239985, 68732, 75617, 319160, 218210, 319161, 240614, 319164, 22121, 319165, 319166, 319167, 12457, 76707, 72931, 59026, 320878, 326619, 328572, 211673, 16367, 71389, 225288, 326620, 66395, 77044, 20068, 193116, 319171, 319172, 14083, 381022, 80913, 66725, 20356, 16553, 22661, 21402, 66923, 226407, 51788, 56422, 58521, 110954, 269254, 14897, 244349, 665433, 56471, 20742, 16798, 192119, 11835, 246198, 19241, 16500, 66537, 319191, 319192, 100019, 218397, 17847, 192195, 19181, 98741, 242466, 74192, 19184, 74117, 23805, 13209, 16573, 78798, 17751, 319934, 13383, 22385, 69386, 74392, 19053, 328580, 235626, 67671, 58799, 107686, 16492, 100503670, 15161, 66354, 208898, 20227, 11797, 20592, 14265, 242667, 109263, 381305, 170644, 27050, 170738, 20085, 19179, 216848, 12283, 20018, 74205, 11789, 16785	599	2225	18128	1.8906357037009245	3.13968850917945E-10	3.924616187589436E-11	1.1465273175303992E-10
GOTERM_BP_ALL	GO:0048519~negative regulation of biological process	241	36.79389312977099	1.130681247538016E-13	22770, 12211, 14272, 100041230, 14586, 12017, 232164, 21834, 67025, 110651, 20815, 22782, 320799, 71175, 20238, 243274, 18213, 56490, 218210, 107746, 235439, 22121, 19211, 226525, 320528, 71779, 12457, 21417, 76707, 232341, 26921, 328572, 12704, 211673, 66313, 19726, 320129, 20658, 18102, 83925, 74996, 14083, 233833, 20356, 66725, 22661, 66923, 231866, 51788, 102141, 269254, 14897, 100710, 245007, 11352, 19090, 279561, 665433, 67661, 56205, 16798, 11835, 192119, 246198, 16500, 68815, 15258, 15257, 15259, 11426, 50755, 105638, 217463, 211652, 74117, 210108, 110521, 74521, 259302, 17751, 13383, 26936, 228852, 223989, 74326, 50768, 20687, 72399, 236732, 68052, 208449, 26440, 81702, 232286, 15505, 224860, 18245, 11512, 17196, 68036, 99375, 14265, 67397, 270120, 77771, 52392, 170644, 13518, 27050, 24061, 71521, 20843, 20018, 18616, 56191, 241289, 14811, 20104, 50791, 75788, 14815, 360013, 20191, 23859, 18015, 26554, 12914, 321006, 22083, 319159, 319157, 140810, 319158, 241568, 21960, 207785, 319155, 83671, 319156, 396184, 114715, 16969, 100683, 14828, 70369, 64930, 74256, 22070, 319168, 19017, 108954, 68732, 319160, 319161, 26987, 319164, 319165, 319166, 107568, 319167, 18993, 232906, 11553, 326619, 18798, 16367, 225288, 326620, 77044, 319171, 319172, 74374, 215821, 381022, 80913, 29869, 272381, 16880, 58521, 17938, 244349, 20742, 69257, 19246, 19241, 219228, 19386, 17136, 319191, 319192, 24136, 107508, 18570, 18708, 12421, 16443, 218397, 192195, 20203, 109676, 192198, 18704, 19184, 18706, 23805, 12753, 13209, 107515, 16438, 15194, 78798, 170711, 69386, 19053, 74392, 327987, 58799, 22027, 16975, 21848, 20620, 15161, 66354, 11797, 19777, 381305, 16412, 12633, 19271, 12848, 69562, 207304, 20085, 19179, 100502698, 19172, 11789, 17978, 17979, 59079, 80750	599	4803	18128	1.5185445101263575	5.91889426360126E-10	6.576550415360316E-11	2.1613821843402548E-10
GOTERM_BP_ALL	GO:0019538~protein metabolic process	254	38.778625954198475	2.965735755088153E-13	12211, 14272, 328329, 14586, 55949, 12017, 232164, 269261, 67025, 20042, 110651, 20815, 71175, 15531, 20918, 22284, 66155, 18213, 15204, 107746, 22121, 109333, 19211, 57775, 71779, 106763, 232341, 20361, 26921, 328572, 12704, 211673, 66313, 26408, 320129, 20068, 70611, 78832, 74996, 382253, 14083, 233833, 18477, 66725, 21402, 226407, 110954, 102141, 51789, 269254, 14897, 320808, 11352, 19090, 279561, 240055, 246293, 67661, 56205, 237860, 16798, 11835, 192119, 246198, 15258, 15257, 20005, 15259, 50755, 23966, 65019, 105638, 211652, 74521, 72661, 27176, 17751, 13383, 26936, 228852, 22385, 244650, 74326, 50768, 72399, 235626, 67671, 11431, 68052, 109910, 67186, 26440, 26441, 26442, 66413, 232286, 15505, 224860, 26444, 67281, 18245, 319817, 68036, 99375, 14265, 67397, 217194, 70675, 27050, 67945, 103236, 20115, 19899, 12283, 16785, 107045, 329152, 14811, 20103, 20104, 50791, 75788, 98221, 18015, 26554, 12914, 70354, 321006, 22083, 414872, 140810, 241568, 16341, 227867, 69737, 66475, 269700, 396184, 114715, 100683, 14828, 70369, 66480, 64930, 14109, 66481, 74256, 66489, 19017, 76179, 319974, 108954, 231051, 26451, 210973, 68734, 26987, 107568, 71745, 17156, 11553, 59026, 59029, 30945, 233902, 66663, 74374, 381022, 80913, 66997, 29869, 272381, 56422, 58521, 19981, 27207, 244349, 14423, 76808, 20742, 19246, 231876, 213452, 68991, 19933, 19386, 102323, 24136, 107508, 26891, 18570, 319195, 18708, 12421, 218397, 17847, 192195, 14339, 19181, 20203, 226751, 192198, 19184, 18706, 23805, 12753, 13209, 22214, 269181, 15194, 70223, 170711, 19053, 72201, 58799, 22027, 16975, 21848, 100503670, 20620, 207806, 15161, 66354, 237553, 104570, 11797, 19166, 56459, 20592, 78294, 242960, 19946, 109263, 381305, 20088, 16412, 12633, 19271, 12848, 69562, 207304, 26374, 20085, 19179, 19173, 19172, 114641, 11789, 76846, 19941, 80750, 67427, 20316, 19170	599	5196	18128	1.4794069150405924	1.5529829644478355E-9	1.5529832975147428E-10	5.670797165180375E-10
