Term,PValue,Count,Cluster,Order,NegLogPValue,Direction,Category
GO:0044763~single-organism cellular process,6.84E-10,721,11,1,9.164988375,Up,Other
GO:0044699~single-organism process,3.23E-08,781,11,2,7.490293755,Up,Other
GO:0007154~cell communication,4.28E-11,412,7,3,10.36864296,Up,Signal Transduction; Regulation
GO:0023052~signaling,4.03E-11,409,7,4,10.39513371,Up,Signal Transduction; Regulation
GO:0044700~single organism signaling,4.25E-11,407,7,5,10.37155081,Up,Signal Transduction; Regulation
GO:0051716~cellular response to stimulus,5.30E-05,428,7,6,4.275743171,Up,Signal Transduction; Regulation
GO:0048583~regulation of response to stimulus,2.65E-11,250,7,7,10.57629798,Up,Signal Transduction; Regulation
GO:0007165~signal transduction,5.34E-06,357,7,8,5.27269925,Up,Signal Transduction; Regulation
GO:0044710~single-organism metabolic process,5.85E-05,234,26,9,4.232676595,Up,Nucleotide Metabolism
GO:0019637~organophosphate metabolic process,0.000938572,72,26,10,3.027532618,Up,Nucleotide Metabolism
GO:0009259~ribonucleotide metabolic process,0.000222022,43,26,11,3.65360407,Up,Nucleotide Metabolism
GO:0019693~ribose phosphate metabolic process,0.000364281,43,26,12,3.438563776,Up,Nucleotide Metabolism
GO:0031279~regulation of cyclase activity,1.17E-05,14,26,13,4.930647453,Up,Nucleotide Metabolism
GO:0045761~regulation of adenylate cyclase activity,0.00029856,11,26,14,3.524968824,Up,Nucleotide Metabolism
GO:0051339~regulation of lyase activity,0.000354407,12,26,15,3.450497876,Up,Nucleotide Metabolism
GO:0072521~purine-containing compound metabolic process,0.000990206,44,26,16,3.004274415,Up,Nucleotide Metabolism
GO:0009150~purine ribonucleotide metabolic process,0.000407505,41,26,17,3.389866675,Up,Nucleotide Metabolism
GO:0006163~purine nucleotide metabolic process,0.000666474,42,26,18,3.176216635,Up,Nucleotide Metabolism
GO:1900371~regulation of purine nucleotide biosynthetic process,2.60E-05,20,26,19,4.58427789,Up,Nucleotide Metabolism
GO:0030808~regulation of nucleotide biosynthetic process,2.91E-05,20,26,20,4.535950282,Up,Nucleotide Metabolism
GO:0030799~regulation of cyclic nucleotide metabolic process,0.000121481,20,26,21,3.915490869,Up,Nucleotide Metabolism
GO:0052652~cyclic purine nucleotide metabolic process,0.000847569,18,26,22,3.071824969,Up,Nucleotide Metabolism
GO:0030802~regulation of cyclic nucleotide biosynthetic process,3.65E-05,19,26,23,4.437199308,Up,Nucleotide Metabolism
GO:0009190~cyclic nucleotide biosynthetic process,0.000357943,19,26,24,3.44618569,Up,Nucleotide Metabolism
GO:1900542~regulation of purine nucleotide metabolic process,0.000576312,23,26,25,3.239342315,Up,Nucleotide Metabolism
GO:0006140~regulation of nucleotide metabolic process,0.000915512,23,26,26,3.038335973,Up,Nucleotide Metabolism
GO:0030817~regulation of cAMP biosynthetic process,0.000248426,16,26,27,3.60480382,Up,Nucleotide Metabolism
GO:0006171~cAMP biosynthetic process,0.0005599,16,26,28,3.25188918,Up,Nucleotide Metabolism
GO:0046058~cAMP metabolic process,0.000229544,19,26,29,3.639133687,Up,Nucleotide Metabolism
GO:0009187~cyclic nucleotide metabolic process,0.000242911,23,26,30,3.614552023,Up,Nucleotide Metabolism
GO:0060627~regulation of vesicle-mediated transport,3.14E-11,60,8,31,10.5026785,Up,Exocytosis and Secretion
GO:0017156~calcium ion regulated exocytosis,5.76E-09,23,8,32,8.239683135,Up,Exocytosis and Secretion
GO:0017158~regulation of calcium ion-dependent exocytosis,1.70E-08,18,8,33,7.770221424,Up,Exocytosis and Secretion
GO:0045055~regulated exocytosis,6.50E-08,30,8,34,7.187201113,Up,Exocytosis and Secretion
GO:0017157~regulation of exocytosis,4.58E-10,32,8,35,9.33886664,Up,Exocytosis and Secretion
GO:0006887~exocytosis,4.36E-09,43,8,36,8.360270327,Up,Exocytosis and Secretion
GO:1903305~regulation of regulated secretory pathway,1.98E-07,22,8,37,6.70370432,Up,Exocytosis and Secretion
GO:0032940~secretion by cell,1.61E-10,95,8,38,9.792040637,Up,Exocytosis and Secretion
GO:0046903~secretion,2.43E-08,98,8,39,7.614215082,Up,Exocytosis and Secretion
GO:0051050~positive regulation of transport,7.79E-07,88,8,40,6.108304464,Up,Exocytosis and Secretion
GO:0051047~positive regulation of secretion,0.000321311,40,8,41,3.493074626,Up,Exocytosis and Secretion
GO:1903532~positive regulation of secretion by cell,0.00064141,37,8,42,3.192864509,Up,Exocytosis and Secretion
GO:1903530~regulation of secretion by cell,2.15E-08,72,8,43,7.666749656,Up,Exocytosis and Secretion
GO:0051046~regulation of secretion,8.19E-08,74,8,44,7.086701805,Up,Exocytosis and Secretion
GO:0045921~positive regulation of exocytosis,8.37E-06,17,8,45,5.077507897,Up,Exocytosis and Secretion
GO:0045956~positive regulation of calcium ion-dependent exocytosis,0.000484558,7,8,46,3.314654323,Up,Exocytosis and Secretion
GO:1903307~positive regulation of regulated secretory pathway,0.00085055,10,8,47,3.070300167,Up,Exocytosis and Secretion
GO:0007267~cell-cell signaling,7.63E-20,145,1,48,19.11774698,Up,Synaptic Transmission
GO:0099536~synaptic signaling,4.85E-24,94,1,49,23.31412025,Up,Synaptic Transmission
GO:0099537~trans-synaptic signaling,4.85E-24,94,1,50,23.31412025,Up,Transsynaptic Signaling
GO:0007268~chemical synaptic transmission,4.85E-24,94,1,51,23.31412025,Up,Transsynaptic Signaling
