Grid Location,Raw Volume,Raw Volume,Raw Volume Avg.,Raw Volume,Raw Volume,Raw Volume Avg.,Raw Volume,Raw Volume,Raw Volume Avg.,Raw Volume,Raw Volume,Raw Volume Avg.,UniGene,Gene Name
,Array 1 short left,Array 1 short right,Array 1 short,Array 2 short left,Array 2 short right,Array 2 short,Array 1 long left,Array 1 long right,Array 1 long,Array 2 long left,Array 2 long right,Array 2 long,Cluster,
GRID-   1-R1C1,6239.03,9927.6,8083.315,6800.41,6774.77,6787.59,7063.34,6506.2,6784.77,6955,9003.27,7979.135,Hs.15064,ESTs
GRID-   1-R1C2,8141.61,9977.68,9059.645,8152.8,8404.63,8278.715,8282.96,8243.43,8263.195,8289.19,8568.19,8428.69,Hs.66521,MJD1
GRID-   1-R1C3,12735.33,14452.19,13593.76,11835.54,12254.69,12045.115,12153.4,14049.49,13101.445,12482.94,12824.76,12653.85,Hs.21611,"kinesin-likeprotein3C(KIF3C)mRNA,completecds"
GRID-   1-R1C4,9323.95,9533.91,9428.93,7144.84,9620.49,8382.665,8367.72,9118.01,8742.865,8928.07,8305.47,8616.77,Hs.155392,Collapsinresponsemediatorprotein1
GRID-   1-R1C5,8218.2,7316.89,7767.545,6941.96,7163.94,7052.95,7972.43,7739.46,7855.945,7655.93,7859.27,7757.6,Hs.24597,"ESTs,Moderatelysimilartocytochromec-likepolypeptide[]"
GRID-   1-R1C6,7454.42,8316.25,7885.335,8163.42,7874.34,8018.88,9787.19,10415.81,10101.5,9090.73,8900.29,8995.51,Hs.34114,"Na,K-ATPasesubunitalpha2(ATP1A2)gene,completecds"
GRID-   1-R1C7,12049.57,9613.05,10831.31,8955.08,9768.25,9361.665,11872.71,10967.82,11420.265,13641.96,13200.4,13421.18,Hs.31210,B-cellCLL/lymphoma3
GRID-   1-R1C8,34189.13,41468.95,37829.04,37879.38,35209.87,36544.625,47311.98,49505.67,48408.825,43595.77,50657.63,47126.7,Hs.167246,"CytochromeP450reductase[,placenta,mRNAPartial,2403nt]"
GRID-   1-R1C9,15749.41,17266.72,16508.065,16315.09,14214.33,15264.71,17468.47,20543.15,19005.81,14446.18,20339.82,17393,Hs.36131,"extracellular matrix protein collagen type XIV, C-terminus"
GRID-   1-R1C10,10002.9,8948.19,9475.545,8794.27,8332.88,8563.575,9092.09,10237.97,9665.03,8330.93,10273.89,9302.41,Hs.295726,"Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"
GRID-   1-R1C11,10774.41,9689.68,10232.045,9904.29,9255.94,9580.115,10446.84,10985.77,10716.305,9115.69,10898.52,10007.105,Hs.5321,actin-related protein Arp 3 (ARP3)  
GRID-   1-R1C12,9268.91,10095.65,9682.28,7870.97,8077.35,7974.16,12190.38,12210.56,12200.47,10000.49,12054.75,11027.62,Hs.21094,"ESTs, Highly similar to RAS-RELATED PROTEIN RAB-18A [Lymnaea stagnalis]"
GRID-   1-R2C1,6756.02,8810.22,7783.12,6648.52,7837.5,7243.01,7536.03,7755.78,7645.905,7749.84,10316.15,9032.995,Hs.103291,"ESTs,Highlysimilartoneuritin[R.norvegicus]"
GRID-   1-R2C2,7865.43,8681.75,8273.59,7265.82,8186.42,7726.12,8229.19,8128.46,8178.825,8189.05,8960.26,8574.655,Hs.183109,MonoamineoxidaseA
