"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Kif5a",112277.925017813,82217.9117258042,123654.593486748,43475.0346164274,129673.926444591,62951.1986653942
"Ubc",97561.0857866365,74753.7160703299,95440.7231332092,81422.6384434883,115775.326621201,49923.5673373728
"Calm1",68659.7465504348,58173.3084323592,59194.6143508055,60669.5534281573,68484.6420935032,43622.0381746348
"Hspa8",51928.4059783804,40335.5432951538,51859.9273336853,37244.9348406216,75417.8174962399,26935.016151787
"Sptbn2",42691.8308264117,32373.3876290018,56802.024750424,24642.1143561187,57301.4599033747,22803.7069422315
"Calm3",42327.6734182776,37702.5708525038,27392.7060158929,34747.3292353571,40019.597711079,28211.0045253461
"Eef1a1",41925.2592935296,27187.6714302491,39109.0749789799,27741.510726997,43053.0296427816,18651.1209172473
"Rn7sk",38689.252390629,23183.2695352882,111920.892321723,232854.762139834,36440.4631621575,10392.299819188
"Pkm",37584.1468736156,30660.1496924783,33640.7204732209,27835.4318291448,38913.6044671398,18139.5163172479
"Glul",36679.9920959861,30805.9565022802,30842.9735322017,23421.140028197,41065.0793766509,22784.218709483
"Ndrg4",36076.6341605506,26123.0246203167,28881.7753209797,30138.238111436,37242.9173110606,19743.4095448242
"Ckb",35213.3338849097,28021.5276762457,30857.0109870944,25727.4248698269,40317.8943351322,17811.7381914011
"Ttc3",34328.2006590644,25098.3182034055,33647.2407652925,25911.7885147838,40052.3112268792,16947.8407305268
"Map2",34146.4007920297,27051.8949994747,33871.3975150149,28465.0510694692,35450.9840853767,17279.9659711327
"Camk2n1",32922.8194625167,23335.064885792,27058.679670331,25090.848510825,29024.4388072449,15599.5995574641
"Tuba1a",32916.4200969854,22702.1959062143,26559.1469724156,24269.9085068662,33140.8133721598,15508.4021915778
"Ddn",31908.3921178765,19567.148596374,30086.2904967035,14359.4929506011,32814.9389490261,16936.5097820347
"Ubb",31706.3158791996,24099.0986309289,25240.4187909318,22777.6065505174,34449.1100098146,16420.0964658509
"Atp2b2",29769.3673004473,26359.6424435031,36894.1022339394,25671.767920406,36772.3109239436,19732.1264817054
"Sptbn1",28470.7075554055,21377.1494611089,36672.2133080855,22694.121126386,31624.7453308975,12916.2176243987
"Agap2",27271.6470765257,17139.1557095922,27517.5626850233,11180.0897149302,31071.8976956066,12935.5892395373
"Atp5b",27211.7679587579,20619.8099921705,24477.7788570471,19466.0180599718,29222.201864435,13953.12086098
"Zfp365",26364.165629598,19598.9757126781,26699.9962724391,16429.2357571921,27633.7079287335,14415.5563664008
"Cpe",25945.6017985016,21175.2665011286,22442.0296985291,20474.8002682263,28758.3588531569,16296.239481272
"Eef2",25514.2158351399,17919.7122793208,26253.6068397233,15343.9252434839,30425.6812874827,12723.6880360987
"Psap",25511.7740164906,21718.6722910882,20062.6061790857,19702.5600950108,26798.9847699239,14519.8681902174
"Ppp1r9b",25374.168080921,19114.6270189392,21371.5160904235,12773.2698921045,26691.8347975619,15021.4257867976
