"","SAL_WT1","SAL_WT2","SAL_WT3","SAL_KO1","SAL_KO2","SAL_KO3","RO_WT1","RO_WT2","RO_WT3","RO_KO2","RO_RAP_WT1","RO_RAP_WT2","RO_RAP_WT3","RO_RAP_KO1","RO_RAP_KO2","RO_RAP_KO3"
"Xkr4",1817.12352214162,2112.66162161383,1811.91526967359,1958.27790037131,1546.76369699524,1826.52983573062,2081.3909605343,2126.03044585561,2045.92009119571,2744.58331831983,1902.63657731277,1677.85520750557,1572.60731098432,1108.16493374817,1370.15722525002,1072.94481670327
"Sox17",34.0130891835924,42.863208866141,71.3400072811088,30.9405329880918,49.7012677710253,44.7922847999335,30.5125376413405,52.5195169522526,36.3916371969736,0,60.663774928813,50.7104727629804,38.1028203101928,26.129362648378,19.8195563606778,16.4180968643594
"Mrpl15",367.959782986136,286.029489933672,362.745799734452,248.168858341986,311.762497836431,210.026046506355,368.329918670467,357.536711559566,410.959220053628,410.470001979391,344.986922069916,389.698959167686,472.47497184639,199.236390193882,160.64271997602,188.58624776629
"Lypla1",195.832937723714,215.1403368089,249.08544915099,201.113464422596,225.91485350466,190.118364373051,235.382433233198,242.397770548858,205.035809573192,344.377374542032,174.025374543261,165.91143806149,208.526343879419,118.515323440857,136.129058161498,132.675971957931
"Tcea1",923.506906318146,909.194603449106,1084.00536487312,979.138950185654,862.994740387803,854.039563518733,845.633186060007,868.592011133409,910.678530831582,1422.73076957264,813.752455610744,939.246147696941,994.137220820484,643.902150977886,548.167203554537,657.16760692206
"Rgs20",322.608997408013,308.285386844937,325.262067095225,272.663446957559,253.02463592522,230.929112746324,285.510173643971,350.466776585224,323.086730236546,379.162967930116,381.752846269197,384.738152049569,357.473732364718,166.108091121831,174.725036337555,170.393221511189
"Atp6v1h",6784.06524261834,4892.17585808744,5629.81481187869,5887.72558985896,4245.69314686425,4639.48532116645,5991.35471257464,5248.9217230934,5400.16391966798,4873.46163367057,5255.68886428716,6441.33244248031,5542.22840875531,2911.09095648625,2214.05307239677,3108.78882788383
"Oprk1",256.644218385288,206.073119548755,198.905613521058,180.486442430535,108.439129682237,186.13682794639,191.793093745569,183.818309332884,229.00103406876,260.89195041063,193.021102046223,215.519509242667,176.658530529076,91.919365030901,109.007559983728,100.283510576898
"Npbwr1",13.399095738991,29.6745292150207,10.8823739920336,29.6513441135879,12.0487921869152,16.9215298133082,13.0768018462888,19.1898235017846,18.6396190521084,38.2641527268924,17.1574312929976,15.4336221452549,15.2411281240771,8.86531946998538,17.2117199974308,15.5306321689886
"Rb1cc1",3924.90435185212,4142.89399540817,4368.06400513569,3438.2667283017,3336.00933675215,3340.50906196838,5280.84847892628,5177.21238263937,5034.47234588376,4007.30035830728,4828.59137817218,4692.37233294839,4301.46202374522,1787.06176684442,1586.08607612688,1839.27058115593
"St18",156.666350178971,220.910384156265,255.735788812788,142.455370632672,994.025355420506,133.381470293135,193.97256071995,205.028114255909,264.505070358491,132.185254874719,235.301914875396,230.953131387922,189.821322999869,149.310643705017,67.2821781717748,73.6595697157744
"Pcmtd1",1684.16326442394,1687.3267028652,1910.46121193478,1714.62120309009,1716.95288663542,1507.0115374911,2427.92620946095,2411.85781696114,1982.01282587419,2553.26255468537,1610.96024533181,1748.96010953192,1562.908411269,1006.91365348571,953.424974403134,1082.26319600466
"Sntg1",1225.50191028156,1030.36559774377,1094.28316253226,874.070056913592,591.89691618221,815.21958335879,956.786001753462,1235.21863908856,1057.13268052672,1015.73932693205,963.267214021152,972.869395941961,913.774908893532,515.588316543887,527.82607992121,492.542905930781
"Rrs1",169.034746245732,190.411562463049,177.745441869881,145.03374838168,171.695288663542,168.219914026417,176.536824924898,214.118030651492,218.349823181841,180.885085618037,207.114706322614,187.408268906667,234.851928821006,120.848302248748,114.223232710222,106.939495792179
"Adhfe1",144.29795411221,186.290100072074,214.624598176217,148.901315005192,105.426931635508,148.312231893113,139.485886360414,161.598513699239,140.240943344435,146.099492229953,176.476436156547,169.218642806902,214.068572288174,115.24915310981,106.92129089313,117.145339788942
"X3110035E14Rik",10789.3641689044,10223.6996070528,11917.4086739425,11988.8119384483,6970.22628013046,8784.2647413203,13037.5714407499,12392.5860193104,10948.5571908456,10428.7208977476,10992.3985701816,13200.1565405202,12408.3566286521,6376.49767772738,5941.69437002216,7357.52605697142
"Mybl1",130.898858373219,86.550710210477,111.242045251899,106.358082146565,78.317149214949,81.6214967465455,65.3840092314438,76.7592940071385,96.7484988895151,201.756441650887,79.6595024317746,73.3097051899608,85.9045403357074,55.5248956278032,49.0273236290452,59.9038669375274
"Vcpip1",2063.46074380461,2875.13216394423,2125.085810111,2182.59676453497,1716.95288663542,2231.65116714335,2593.56569951394,2607.79601482147,2461.31731578555,3607.26603434431,2482.92541425808,2069.20776904596,2131.67960171751,1116.56365745658,1387.8905125201,1240.67564412835
"Sgk3",307.148502324562,342.081378450933,437.108688680014,226.252647475421,293.689309556059,303.592152532883,516.533672928406,387.836432878173,400.308009166709,264.370509749439,356.0166993297,367.099726740706,338.768711485169,139.512132711875,148.125105432434,182.81772724638
