genes,GO Biological Process
Rb1cc1,Signal Transduction and Apoptosis Regulation
Prex2,Signal Transduction and Apoptosis Regulation
Pou3f3,Signal Transduction and Apoptosis Regulation
Hecw2,Signal Transduction and Apoptosis Regulation
Lancl1,Signal Transduction and Apoptosis Regulation
Abl2,Signal Transduction and Apoptosis Regulation
Kcnh1,Signal Transduction and Apoptosis Regulation
Rpl12,Signal Transduction and Apoptosis Regulation
Kcnh7,Signal Transduction and Apoptosis Regulation
Ttbk2,Signal Transduction and Apoptosis Regulation
Plpp3,Signal Transduction and Apoptosis Regulation
Rnf220,Signal Transduction and Apoptosis Regulation
Dpp6,Signal Transduction and Apoptosis Regulation
Fbxl5,Signal Transduction and Apoptosis Regulation
Zfp644,Signal Transduction and Apoptosis Regulation
Cplx1,Signal Transduction and Apoptosis Regulation
Tmem132d,Signal Transduction and Apoptosis Regulation
Aes,Signal Transduction and Apoptosis Regulation
Jund,Signal Transduction and Apoptosis Regulation
Rpl15,Signal Transduction and Apoptosis Regulation
Mtmr6,Signal Transduction and Apoptosis Regulation
Tpt1,Signal Transduction and Apoptosis Regulation
Sema7a,Signal Transduction and Apoptosis Regulation
Zbtb38,Signal Transduction and Apoptosis Regulation
Zfp651,Signal Transduction and Apoptosis Regulation
Tug1,Signal Transduction and Apoptosis Regulation
Aftph,Signal Transduction and Apoptosis Regulation
Erbin,Signal Transduction and Apoptosis Regulation
Rps7,Signal Transduction and Apoptosis Regulation
Arhgap5,Signal Transduction and Apoptosis Regulation
Sh3bp1,Signal Transduction and Apoptosis Regulation
X5031439G07Rik,Signal Transduction and Apoptosis Regulation
Mgrn1,Signal Transduction and Apoptosis Regulation
Usf3,Signal Transduction and Apoptosis Regulation
Syt4,Signal Transduction and Apoptosis Regulation
Nr3c1,Signal Transduction and Apoptosis Regulation
Eno1.1,Signal Transduction and Apoptosis Regulation
Rpl31,Metabolic Regulation
Pnkd,Metabolic Regulation
Cdk5r2,Metabolic Regulation
Irs1,Metabolic Regulation
Arl8a,Metabolic Regulation
Zbtb41,Metabolic Regulation
C1ql3,Metabolic Regulation
Arpc5l,Metabolic Regulation
X1110051M20Rik,Metabolic Regulation
Fjx1,Metabolic Regulation
Cops2,Metabolic Regulation
Blcap,Metabolic Regulation
Vstm2l,Metabolic Regulation
Hrh3,Metabolic Regulation
Rps21,Metabolic Regulation
Pcsk1n,Metabolic Regulation
Fmr1,Metabolic Regulation
Ar,Metabolic Regulation
Tmem35a,Metabolic Regulation
Arxes2,Metabolic Regulation
Wbp5,Metabolic Regulation
Rusc1,Metabolic Regulation
Pkn2,Metabolic Regulation
Dhcr24,Metabolic Regulation
Ddost,Metabolic Regulation
Psmc2,Metabolic Regulation
Smarcd3,Metabolic Regulation
Rgs12,Metabolic Regulation
Wfs1,Metabolic Regulation
Bpgm,Metabolic Regulation
Hipk2,Metabolic Regulation
Cops7a,Metabolic Regulation
Lmo3,Metabolic Regulation
Rps11,Metabolic Regulation
Dbp,Metabolic Regulation
Rps17,Metabolic Regulation
Rps12,Metabolic Regulation
Fnta,Metabolic Regulation
Ssbp4,Metabolic Regulation
Rpl18a,Metabolic Regulation
Cdh13,Metabolic Regulation
Necab2,Metabolic Regulation
Anxa7,Metabolic Regulation
Cpne6,Metabolic Regulation
Msantd4,Metabolic Regulation
Birc2,Metabolic Regulation
Olfm2,Metabolic Regulation
Scn3b,Metabolic Regulation
Cyb5r4,Metabolic Regulation
Cpne4,Metabolic Regulation
Tex264,Metabolic Regulation
Vstm2a,Metabolic Regulation
Slc1a4,Metabolic Regulation
Smek2,Metabolic Regulation
Med24,Metabolic Regulation
Tmub2,Metabolic Regulation
Psmd12,Metabolic Regulation
Rpl38,Metabolic Regulation
Wbp2,Metabolic Regulation
Cbx4,Metabolic Regulation
Psma2,Metabolic Regulation
Cxcl14,Metabolic Regulation
Trappc12,Metabolic Regulation
Arl4a,Metabolic Regulation
Mdga2,Metabolic Regulation
Ppp4r4,Metabolic Regulation
Cinp,Metabolic Regulation
Rpl37,Metabolic Regulation
Rnf19a,Metabolic Regulation
Nov,Metabolic Regulation
Sqle,Metabolic Regulation
X1810041L15Rik,Metabolic Regulation
Wnt7b,Metabolic Regulation
Mcrs1,Metabolic Regulation
Rogdi,Metabolic Regulation
Adprh,Metabolic Regulation
Zbtb20,Metabolic Regulation
Wtap,Metabolic Regulation
