"","genes","log2FC","go_id"
"1","Adora1",0.30624693910298,"Transsynaptic Signaling"
"2","Adora2a",0.395944276553632,"Transsynaptic Signaling"
"3","Apba2",0.467574224849347,"Transsynaptic Signaling"
"4","Arf1",0.257875953357859,"Transsynaptic Signaling"
"5","Asic1",0.388461187467304,"Transsynaptic Signaling"
"6","Atp2a2",0.246427897498043,"Transsynaptic Signaling"
"7","Atxn1",-0.0879169679339109,"Transsynaptic Signaling"
"8","Baiap2",0.617942327148576,"Transsynaptic Signaling"
"9","Braf",-0.104642597171521,"Transsynaptic Signaling"
"10","Cacna1a",-0.0860067050177324,"Transsynaptic Signaling"
"11","Cacna1b",-0.205235981791309,"Transsynaptic Signaling"
"12","Cacnb1",0.565899772412406,"Transsynaptic Signaling"
"13","Cacnb3",0.366042849340435,"Transsynaptic Signaling"
"14","Cacnb4",-0.209884634091944,"Transsynaptic Signaling"
"15","Cadps",0.294503658442562,"Transsynaptic Signaling"
"16","Calb1",-0.269064352902108,"Transsynaptic Signaling"
"17","Camk2a",-0.175858214013934,"Transsynaptic Signaling"
"18","Camk2b",0.297762596147186,"Transsynaptic Signaling"
"19","Camk4",-0.287501845877941,"Transsynaptic Signaling"
"20","Cdh8",-0.099609200449298,"Transsynaptic Signaling"
"21","Chrm3",-0.232421066561459,"Transsynaptic Signaling"
"22","Chrnb2",0.287105309027694,"Transsynaptic Signaling"
"23","Clstn1",0.300890424703284,"Transsynaptic Signaling"
"24","Cnih2",0.464064233167766,"Transsynaptic Signaling"
"25","Cnih3",0.264740897566573,"Transsynaptic Signaling"
"26","Cnr1",0.383576609214998,"Transsynaptic Signaling"
"27","Cplx1",0.604214644328321,"Transsynaptic Signaling"
"28","Creb1",-0.144426143148768,"Transsynaptic Signaling"
"29","Crtc1",0.386788710279702,"Transsynaptic Signaling"
"30","Ctnnb1",0.244451138794526,"Transsynaptic Signaling"
"31","Cx3cl1",0.759655008940764,"Transsynaptic Signaling"
"32","Dbn1",0.446853634978186,"Transsynaptic Signaling"
"33","Dlg1",-0.112704849767865,"Transsynaptic Signaling"
"34","Dlg4",0.281328611810908,"Transsynaptic Signaling"
"35","Egr1",0.398000256343064,"Transsynaptic Signaling"
"36","Eif4a3",0.339951915847498,"Transsynaptic Signaling"
"37","Etv5",0.572358991134485,"Transsynaptic Signaling"
"38","Fgf14",-0.157267673513649,"Transsynaptic Signaling"
"39","Fmr1",-0.4784200088454,"Transsynaptic Signaling"
"40","Gabbr1",0.289382497144128,"Transsynaptic Signaling"
"41","Gfap",0.45468984324119,"Transsynaptic Signaling"
"42","Glrb",0.321706985884162,"Transsynaptic Signaling"
"43","Gria1",0.284780567534206,"Transsynaptic Signaling"
"44","Gria2",-0.111879678914519,"Transsynaptic Signaling"
"45","Grin1",0.254677139984611,"Transsynaptic Signaling"
"46","Grin2a",-0.283833319713825,"Transsynaptic Signaling"
"47","Grin2b",-0.247560638704378,"Transsynaptic Signaling"
"48","Grm1",0.318453043477861,"Transsynaptic Signaling"
"49","Grm3",-0.154543102939249,"Transsynaptic Signaling"
"50","Hap1",0.614669041047034,"Transsynaptic Signaling"
"51","Hrh3",0.328801493273668,"Transsynaptic Signaling"
"52","Jph4",0.421884676676878,"Transsynaptic Signaling"
"53","Kcnb1",-0.116733725230935,"Transsynaptic Signaling"
"54","Kcnc4",0.333298404839242,"Transsynaptic Signaling"
"55","Kcnj10",-0.16926815394927,"Transsynaptic Signaling"
"56","Kcnma1",-0.137950153216321,"Transsynaptic Signaling"
"57","Kif5b",-0.214971548493799,"Transsynaptic Signaling"
"58","Lin7b",-0.500535887003188,"Transsynaptic Signaling"
"59","Lrp6",-0.297337429273739,"Transsynaptic Signaling"
"60","Lrp8",-0.149110409634148,"Transsynaptic Signaling"
"61","Lrrk2",0.240711420148189,"Transsynaptic Signaling"
"62","Lrrtm1",0.488224257333841,"Transsynaptic Signaling"
"63","Lrrtm2",-0.121005936649914,"Transsynaptic Signaling"
"64","Lypd1",0.243161645469045,"Transsynaptic Signaling"
"65","Lzts1",0.251208644014543,"Transsynaptic Signaling"
"66","Mapk8ip2",0.24831546562464,"Transsynaptic Signaling"
"67","Mapt",0.325206523521316,"Transsynaptic Signaling"
"68","Mink1",0.502455501103114,"Transsynaptic Signaling"
"69","Napa",0.319504636259031,"Transsynaptic Signaling"
"70","Ncam1",0.329745082871881,"Transsynaptic Signaling"
"71","Ncdn",0.566305967734151,"Transsynaptic Signaling"
"72","Ncs1",0.569906478391573,"Transsynaptic Signaling"
"73","Nlgn1",-0.22317420062608,"Transsynaptic Signaling"
"74","Nlgn2",0.29631983778566,"Transsynaptic Signaling"
"75","Nlgn3",-0.272343536393415,"Transsynaptic Signaling"
"76","Nos1",0.580012880059338,"Transsynaptic Signaling"
"77","Nptn",0.376225389336466,"Transsynaptic Signaling"
"78","Nr3c1",-0.189497466176253,"Transsynaptic Signaling"
"79","Nrgn",0.257559795574408,"Transsynaptic Signaling"
"80","Nrxn1",-0.107378503648182,"Transsynaptic Signaling"
"81","Nrxn2",0.318813801900626,"Transsynaptic Signaling"
"82","Ntrk2",0.270978945724112,"Transsynaptic Signaling"
"83","Pak1",0.385342548763776,"Transsynaptic Signaling"
"84","Pclo",-0.1138709869504,"Transsynaptic Signaling"
"85","Penk",0.262156680608483,"Transsynaptic Signaling"
"86","Plcl1",-0.0996986071594357,"Transsynaptic Signaling"
"87","Pnkd",0.544825197756269,"Transsynaptic Signaling"
"88","Ppp1r9a",-0.131323120667328,"Transsynaptic Signaling"
"89","Ppp1r9b",0.320709223709363,"Transsynaptic Signaling"
"90","Prkaca",0.515119921061322,"Transsynaptic Signaling"
"91","Prkcg",0.43881568154833,"Transsynaptic Signaling"
"92","Prkcz",0.257468627342085,"Transsynaptic Signaling"
"93","Pten",-0.264248800389421,"Transsynaptic Signaling"
"94","Ptk2b",0.512897817719831,"Transsynaptic Signaling"
"95","Ptpn5",0.456114545750149,"Transsynaptic Signaling"
"96","Ptprn2",0.249281133353596,"Transsynaptic Signaling"
"97","Rab3a",0.392970316939787,"Transsynaptic Signaling"
"98","Rab5a",-0.122019693002012,"Transsynaptic Signaling"
"99","Rac1",0.626893271639046,"Transsynaptic Signaling"
"100","Rasd2",0.571520651487877,"Transsynaptic Signaling"
"101","Rasgrf1",0.331911462389197,"Transsynaptic Signaling"
"102","Reln",0.364311471670345,"Transsynaptic Signaling"
"103","Rgs14",0.477576662097697,"Transsynaptic Signaling"
"104","Rims2",-0.1864043716579,"Transsynaptic Signaling"
"105","Rims3",0.336945570491119,"Transsynaptic Signaling"
"106","Rims4",0.405057518414201,"Transsynaptic Signaling"
"107","Rph3a",0.248049420129584,"Transsynaptic Signaling"
"108","S100b",-0.671490033668192,"Transsynaptic Signaling"
"109","Serpine2",0.359536822107028,"Transsynaptic Signaling"
"110","Sez6",0.29693404640059,"Transsynaptic Signaling"
"111","Shank1",-0.690760921601502,"Transsynaptic Signaling"
"112","Shank3",-0.438974128551826,"Transsynaptic Signaling"
"113","Slc12a5",0.368384809682845,"Transsynaptic Signaling"
"114","Slc17a7",0.351653695576753,"Transsynaptic Signaling"
"115","Slc1a3",0.465826222493294,"Transsynaptic Signaling"
"116","Slc30a1",-0.224724161937463,"Transsynaptic Signaling"
"117","Slc6a1",0.5251972830022,"Transsynaptic Signaling"
"118","Slc6a11",0.377616014702418,"Transsynaptic Signaling"
"119","Snap25",0.336778242321986,"Transsynaptic Signaling"
"120","Snap47",0.364434513168513,"Transsynaptic Signaling"
"121","Snap91",0.405247322368576,"Transsynaptic Signaling"
"122","Srf",0.277457621063909,"Transsynaptic Signaling"
"123","Sstr3",-0.0914117688427407,"Transsynaptic Signaling"
"124","Stx1a",0.440668622710844,"Transsynaptic Signaling"
"125","Stx1b",-0.285670558323293,"Transsynaptic Signaling"
"126","Stxbp1",0.316383251293174,"Transsynaptic Signaling"
"127","Sv2b",0.272596955623591,"Transsynaptic Signaling"
"128","Syn2",0.446176274488372,"Transsynaptic Signaling"
"129","Syngr1",0.337576829583456,"Transsynaptic Signaling"
"130","Syp",0.311755850784319,"Transsynaptic Signaling"
"131","Syt13",0.46438344330251,"Transsynaptic Signaling"
"132","Syt4",0.343950186562269,"Transsynaptic Signaling"
"133","Syt5",0.306479170475015,"Transsynaptic Signaling"
"134","Tmod2",-0.117807945210962,"Transsynaptic Signaling"
"135","Trim9",0.554312022072993,"Transsynaptic Signaling"
"136","Vgf",0.881319772689544,"Transsynaptic Signaling"
"137","Zmynd8",0.41010666765821,"Transsynaptic Signaling"
