"","Saline/Ro","Ro+Rapa/Ro"
"Acot7",0.308753829138194,0.307330709978272
"Actb",0.485217430595117,0.404576241051325
"Actg1",0.331121125917335,0.203542297653801
"Adprh",0.422655041703837,0.312890526803116
"Aes",0.642830237348299,0.430016664795255
"Agpat1",0.449144596444698,0.492469248873072
"Aldoa",0.386550776716549,0.516077237871514
"Anxa7",0.40045948278985,0.312303192105071
"Aplp1",0.426868447062962,0.289910540399175
"Arhgdia",0.463436422542244,0.436234853110351
"Arl8a",0.568025802864765,0.390414739208239
"Blcap",0.336391724448177,0.24641977689981
"C1ql3",0.323338986390435,0.432342005912509
"C2cd2l",0.511190457552905,0.528047371719781
"Calm3",0.572606544314626,0.434583938132207
"Cbx4",0.325703057008218,0.435240511622128
"Cd81",0.378516228825342,0.36964058149046
"Cdh13",0.454845803694086,0.50899461654497
"Cdk5r2",0.392782060000522,0.279017337438471
"Clu",0.514065863001093,0.566287759580344
"Cops7a",0.39275871749994,0.32838393469408
"Cplx1",0.473379119340152,0.488131977894767
"Cpne4",0.465007715377847,0.590657457040909
"Cpne6",0.585618872845214,0.541719438482227
"Ctbp1",0.283172385824567,0.286975439425857
"Ctsf",0.29071709490549,0.263852900963719
"Cyp46a1",0.432329910088525,0.446770894400007
"Ddost",0.291220037616663,0.397378238990418
"Dpp6",0.298405564946098,0.300889987076257
"Emc10",0.405392033115525,0.430753765669849
"Eno1",0.381888671132874,0.319454149829367
"Epn1",0.407066131430613,0.475448190694969
"Fads1",0.398065324224823,0.384402353725574
"Fads2",0.318478664585276,0.285916533511885
"Fam19a2",0.538283426587804,0.29655541847952
"Fam219a",0.351256216732736,0.282277219486073
"Fjx1",0.484421819604589,0.271973854436487
"Gpr37l1",0.333059037902748,0.280281668308142
"Grina",0.401183978337976,0.346157798207322
"Gsk3a",0.501087895864096,0.437092673999672
"Jph4",0.390843171920208,0.317508159633306
"Jund",0.525758253929986,0.520692700372438
"Lamp1",0.27276493932138,0.253915197392828
"Lancl1",0.322424129040691,0.323845294463682
"Ldb1",0.316351506925842,0.265428142877117
"Lmo3",0.500111649297222,0.334366657450042
"Map2k1",0.401793684542721,0.410391411248215
"Marcks",0.399602745928402,0.435880445944095
"Mcrs1",0.284479475166782,0.27154867278538
"Med24",0.342512333876538,0.327153456302109
"Mfge8",0.500037322980677,0.611335586000462
"Mgrn1",0.337479644269282,0.325533555952713
"Ncdn",0.34486524303612,0.459426093424408
"Ncs1",0.348659196757048,0.465042107348703
"Nov",0.551014954879444,0.328505004265637
"Nptxr",0.517144231171683,0.463119151401219
"Olfm1",0.307515028233658,0.340798495539465
"Olfm2",0.321426174040736,0.270471986669675
"Paqr4",0.380566120912017,0.313970438821069
"Parp6",0.394949345097713,0.368045025160134
"Phyhip",0.429898105082463,0.448644571352379
"Plpp3",0.503347757165697,0.527024401331376
"Pnkd",0.359615045134516,0.426269138664885
"Ppp2r1a",0.317486620114776,0.387817636590972
"Ppp2r5b",0.399101837310678,0.386793792367142
"Prkaca",0.481174168278833,0.408606349776314
"Prkacb",0.308282645823304,0.301616759555092
"Prkar1b",0.333412044860543,0.307687245495007
"Psap",0.298305346438623,0.312994440660917
"Psd",0.31257288543458,0.308095425564062
"Rab3a",0.42997743278694,0.28418121332996
"Rgs12",0.270844013362205,0.410915502001155
"Rnf187",0.333244618112181,0.272394669461887
"Rnps1",0.397430641133856,0.3469147099145
"Rogdi",0.452136556356249,0.381138190105506
"Rpn2",0.306785150559018,0.456306733762595
"Rusc1",0.416990961021078,0.373213559393992
"Scamp5",0.300055923530353,0.191400719019882
"Scn1b",0.427973025120368,0.308969198312449
"Scn3b",0.382086277765241,0.460733266368557
"Sept5",0.454081555392687,0.555874155422057
"Sh3bp1",0.346244463067272,0.282408874592221
"Slc17a7",0.362952983095722,0.248134645481422
"Slc1a4",0.344575172352214,0.524723939242828
"Smap2",0.363149121560841,0.529263539112138
"Smarcd3",0.478020366924005,0.485239236287218
"Smpd1",0.327084143088638,0.302580944836909
"Snap47",0.300472169984067,0.257941315172856
"Sqle",0.263411644140658,0.293035541940132
"Strn4",0.253188916039328,0.296160023375466
"Stum",0.314685557471073,0.268020843274849
"Syngr1",0.266272238786481,0.231613625853575
"Syngr3",0.33224685137803,0.373986172642859
"Syt4",0.29386369591148,0.237650909706321
"Thra",0.465484749817021,0.515716822279311
"Timp2",0.510016464741675,0.591468071472409
"Tmem151a",0.348288942304071,0.349049985647854
"Tmem63b",0.290546610383264,0.277783786705406
"Tom1l2",0.222574380799946,0.22938654378909
"Trappc12",0.253776403443925,0.26250901633633
"Tspan5",0.342468272214557,0.494832330565339
"Tspan7",0.442807889665183,0.401724446005462
"Tuba4a",0.231129239105572,0.291203041642106
"Tubb5",0.35389708527509,0.407234403056519
"Ubb",0.282700563985594,0.344682458611249
"Vapa",0.3939609053634,0.428430860128066
"Vps26b",0.278819946015808,0.283017801938224
"Wbp2",0.457143744773234,0.404834062604514
"Wfs1",0.641086345764943,0.647777548938898
"Wnt7b",0.520782232549806,0.422223131471108
"Wsb2",0.283161915812471,0.243849259291357
"X2900011O08Rik",0.356282782984648,0.284083861033048
