"","Length","ACUK","WGGA","GAC","GACR","GACARG","QFM","ACUK.freq","WGGA.freq","GAC.freq","GACR.freq","GACARG.freq","QFM.freq"
"A830010M20Rik",3720,31,53,68,38,5,1,8.33,14.25,18.28,10.22,1.34,0.27
"Aak1",2880,25,24,47,16,1,1,8.68,8.33,16.32,5.56,0.35,0.35
"Aamp",1311,13,30,34,12,2,0,9.92,22.88,25.93,9.15,1.53,0
"Aar2",1155,10,18,18,8,2,0,8.66,15.58,15.58,6.93,1.73,0
"Aars",2907,27,50,64,31,1,1,9.29,17.2,22.02,10.66,0.34,0.34
"Aatk",4125,27,66,73,31,1,1,6.55,16,17.7,7.52,0.24,0.24
"Abca2",7302,56,115,106,54,7,2,7.67,15.75,14.52,7.4,0.96,0.27
"Abce1",1800,11,22,21,9,1,1,6.11,12.22,11.67,5,0.56,0.56
"Abcf1",2514,15,67,48,29,2,2,5.97,26.65,19.09,11.54,0.8,0.8
"Abcg1",2001,12,30,39,22,0,0,6,14.99,19.49,10.99,0,0
"Abhd12",1197,11,18,22,9,0,2,9.19,15.04,18.38,7.52,0,1.67
"Abhd16a",1677,17,29,27,17,0,2,10.14,17.29,16.1,10.14,0,1.19
"Abhd17a",933,5,9,13,6,0,0,5.36,9.65,13.93,6.43,0,0
"Abhd2",1278,9,19,25,12,1,0,7.04,14.87,19.56,9.39,0.78,0
"Abhd3",1236,19,23,18,11,0,1,15.37,18.61,14.56,8.9,0,0.81
"Abhd8",1320,7,18,19,8,0,1,5.3,13.64,14.39,6.06,0,0.76
"Abi1",1446,9,23,27,10,2,1,6.22,15.91,18.67,6.92,1.38,0.69
"Abi1.1",1446,9,24,27,10,2,1,6.22,16.6,18.67,6.92,1.38,0.69
"Abi2",1464,10,23,15,10,1,2,6.83,15.71,10.25,6.83,0.68,1.37
"Abl1",3429,22,56,49,20,3,1,6.42,16.33,14.29,5.83,0.87,0.29
"Abl2",3549,38,67,57,27,6,5,10.71,18.88,16.06,7.61,1.69,1.41
"Ablim2",1995,16,30,48,23,4,3,8.02,15.04,24.06,11.53,2.01,1.5
"Abr",2616,22,51,54,27,3,1,8.41,19.5,20.64,10.32,1.15,0.38
"Acat2",1194,9,19,17,10,4,1,7.54,15.91,14.24,8.38,3.35,0.84
"Ache",1845,17,30,34,10,1,1,9.21,16.26,18.43,5.42,0.54,0.54
"Acot7",1155,7,24,19,10,3,1,6.06,20.78,16.45,8.66,2.6,0.87
"Acp1",477,8,4,8,2,0,0,16.77,8.39,16.77,4.19,0,0
"Acp1.1",477,8,5,6,1,0,0,16.77,10.48,12.58,2.1,0,0
"Acp2",1272,12,12,22,11,3,0,9.43,9.43,17.3,8.65,2.36,0
"Acsbg1",2166,13,30,31,18,2,2,6,13.85,14.31,8.31,0.92,0.92
"Acsl3",2163,22,33,25,10,0,1,10.17,15.26,11.56,4.62,0,0.46
"Acsl5",2052,17,32,38,20,2,0,8.28,15.59,18.52,9.75,0.97,0
"Actb",1128,6,14,24,13,1,0,5.32,12.41,21.28,11.52,0.89,0
"Actg1",1128,7,15,23,13,1,0,6.21,13.3,20.39,11.52,0.89,0
"Actn4",2799,18,70,70,21,5,2,6.43,25.01,25.01,7.5,1.79,0.71
"Actr1a",1131,8,25,18,11,1,1,7.07,22.1,15.92,9.73,0.88,0.88
"Actr1b",1131,7,23,25,13,1,0,6.19,20.34,22.1,11.49,0.88,0
"Actr3",1257,12,22,20,8,1,0,9.55,17.5,15.91,6.36,0.8,0
"Actr3b",1257,8,22,16,8,0,0,6.36,17.5,12.73,6.36,0,0
"Actr8",1875,19,32,29,12,0,1,10.13,17.07,15.47,6.4,0,0.53
"Acvr1b",1518,11,18,31,13,1,0,7.25,11.86,20.42,8.56,0.66,0
"Acvr2a",1542,14,23,22,12,1,0,9.08,14.92,14.27,7.78,0.65,0
"Adam15",2595,30,37,49,18,2,0,11.56,14.26,18.88,6.94,0.77,0
"Adap1",1125,12,22,20,11,2,0,10.67,19.56,17.78,9.78,1.78,0
"Adar",3537,30,55,63,24,3,1,8.48,15.55,17.81,6.79,0.85,0.28
"Adarb1",2136,13,24,39,20,4,0,6.09,11.24,18.26,9.36,1.87,0
"Adcy2",3288,37,49,48,22,1,1,11.25,14.9,14.6,6.69,0.3,0.3
"Adcy3",3438,26,60,62,24,4,1,7.56,17.45,18.03,6.98,1.16,0.29
"Adcy5",3789,29,55,59,28,5,1,7.65,14.52,15.57,7.39,1.32,0.26
"Adcy8",3750,34,60,63,26,3,1,9.07,16,16.8,6.93,0.8,0.27
"Add1",2208,16,44,45,18,2,3,7.25,19.93,20.38,8.15,0.91,1.36
"Add3",2121,12,29,41,22,2,1,5.66,13.67,19.33,10.37,0.94,0.47
"Adgra1",1737,16,23,24,9,1,1,9.21,13.24,13.82,5.18,0.58,0.58
"Adgrb1",4749,35,77,90,38,5,1,7.37,16.21,18.95,8,1.05,0.21
"Adgrb2",4734,35,68,67,27,2,2,7.39,14.36,14.15,5.7,0.42,0.42
"Adgrl1",4551,35,56,59,22,3,0,7.69,12.3,12.96,4.83,0.66,0
"Adgrl2",4464,29,59,82,50,3,1,6.5,13.22,18.37,11.2,0.67,0.22
"Adgrl2.1",4464,29,58,82,50,3,1,6.5,12.99,18.37,11.2,0.67,0.22
"Adgrl3",4743,33,74,88,44,9,0,6.96,15.6,18.55,9.28,1.9,0
"Adh5",1125,9,18,16,9,1,1,8,16,14.22,8,0.89,0.89
"Adipor1",1128,12,18,19,9,1,1,10.64,15.96,16.84,7.98,0.89,0.89
"Adipor2",1161,7,15,11,8,0,0,6.03,12.92,9.47,6.89,0,0
"Adora2a",1233,7,14,11,6,0,0,5.68,11.35,8.92,4.87,0,0
"Adprh",1089,7,16,12,8,0,0,6.43,14.69,11.02,7.35,0,0
"Adra2c",1377,13,9,20,10,0,1,9.44,6.54,14.52,7.26,0,0.73
"Aes",594,0,6,10,7,2,1,0,10.1,16.84,11.78,3.37,1.68
"Aff3",3690,31,55,75,32,4,3,8.4,14.91,20.33,8.67,1.08,0.81
"Aff4",3483,22,47,58,28,5,0,6.32,13.49,16.65,8.04,1.44,0
"Aftph",2796,35,60,52,24,1,1,12.52,21.46,18.6,8.58,0.36,0.36
"Agap1",2574,20,38,49,28,2,3,7.77,14.76,19.04,10.88,0.78,1.17
"Agap2",3561,21,45,55,20,1,1,5.9,12.64,15.45,5.62,0.28,0.28
"Agap3",2733,15,38,43,19,3,1,5.49,13.9,15.73,6.95,1.1,0.37
"Aggf1",2136,15,31,45,29,4,2,7.02,14.51,21.07,13.58,1.87,0.94
"Agl",4599,56,92,72,35,1,2,12.18,20,15.66,7.61,0.22,0.43
"Ago1",2574,19,36,43,28,4,2,7.38,13.99,16.71,10.88,1.55,0.78
"Agpat1",858,4,11,13,8,0,0,4.66,12.82,15.15,9.32,0,0
"Agtpbp1",3657,38,53,60,27,1,4,10.39,14.49,16.41,7.38,0.27,1.09
"Ahnak",16971,133,319,291,141,2,3,7.84,18.8,17.15,8.31,0.12,0.18
"AI593442",600,6,7,5,2,0,0,10,11.67,8.33,3.33,0,0
"AI837181",897,4,14,11,1,0,0,4.46,15.61,12.26,1.11,0,0
"Ajap1",1239,8,17,30,14,0,1,6.46,13.72,24.21,11.3,0,0.81
"Ak1",633,6,13,18,8,1,0,9.48,20.54,28.44,12.64,1.58,0
"Ak5",1689,11,36,40,21,1,3,6.51,21.31,23.68,12.43,0.59,1.78
"Akap11",5688,56,80,73,36,5,2,9.85,14.06,12.83,6.33,0.88,0.35
"Akap6",6924,61,128,143,76,3,5,8.81,18.49,20.65,10.98,0.43,0.72
"Akirin1",576,4,5,9,7,2,0,6.94,8.68,15.62,12.15,3.47,0
"Akr1a1",978,11,16,13,7,0,0,11.25,16.36,13.29,7.16,0,0
"Akt1",1443,11,34,28,12,1,1,7.62,23.56,19.4,8.32,0.69,0.69
"Akt2",1446,14,32,31,9,0,2,9.68,22.13,21.44,6.22,0,1.38
"Akt3",1440,10,28,26,15,0,2,6.94,19.44,18.06,10.42,0,1.39
"Aktip",879,3,11,10,5,0,0,3.41,12.51,11.38,5.69,0,0
"Alcam",1752,20,31,32,14,0,2,11.42,17.69,18.26,7.99,0,1.14
"Aldoa",1257,11,20,15,6,0,2,8.75,15.91,11.93,4.77,0,1.59
"Aldoc",1092,9,14,16,7,1,0,8.24,12.82,14.65,6.41,0.92,0
"Alg2",1248,11,14,21,7,0,0,8.81,11.22,16.83,5.61,0,0
"Alkbh5",1188,6,17,21,8,1,1,5.05,14.31,17.68,6.73,0.84,0.84
"Ambra1",3903,32,52,62,30,5,3,8.2,13.32,15.89,7.69,1.28,0.77
"Amer3",2343,17,39,50,19,3,4,7.26,16.65,21.34,8.11,1.28,1.71
"Amfr",1920,17,31,38,16,1,0,8.85,16.15,19.79,8.33,0.52,0
"Amotl1",2907,20,63,47,25,6,3,6.88,21.67,16.17,8.6,2.06,1.03
"Amph",2073,29,46,38,21,3,2,13.99,22.19,18.33,10.13,1.45,0.96
"Amz2",1092,14,14,17,8,2,0,12.82,12.82,15.57,7.33,1.83,0
"Anapc1",5835,64,78,73,30,4,2,10.97,13.37,12.51,5.14,0.69,0.34
"Anapc2",2514,25,59,55,22,2,1,9.94,23.47,21.88,8.75,0.8,0.4
"Anapc5",2223,27,34,22,9,0,1,12.15,15.29,9.9,4.05,0,0.45
"Ank",1479,10,14,20,10,3,1,6.76,9.47,13.52,6.76,2.03,0.68
"Ankib1",3258,27,52,57,26,4,0,8.29,15.96,17.5,7.98,1.23,0
"Ankle2",2895,25,48,47,25,0,1,8.64,16.58,16.23,8.64,0,0.35
"Ankmy2",1323,14,23,18,9,1,1,10.58,17.38,13.61,6.8,0.76,0.76
"Ankrd11",7995,49,190,190,108,32,5,6.13,23.76,23.76,13.51,4,0.63
