"","Length","ACUK","WGGA","GAC","GACR","GACARG","QFM","ACUK.freq","WGGA.freq","GAC.freq","GACR.freq","GACARG.freq","QFM.freq"
"A130010J15Rik",792,12,13,13,4,0,1,15.15,16.41,16.41,5.05,0,1.26
"A230046K03Rik",3522,39,49,52,21,4,0,11.07,13.91,14.76,5.96,1.14,0
"A230050P20Rik",873,3,27,22,8,2,2,3.44,30.93,25.2,9.16,2.29,2.29
"A2m",4425,39,76,62,34,3,4,8.81,17.18,14.01,7.68,0.68,0.9
"A430005L14Rik",693,3,11,14,13,1,2,4.33,15.87,20.2,18.76,1.44,2.89
"A430033K04Rik",2043,19,27,23,10,0,0,9.3,13.22,11.26,4.89,0,0
"A430078G23Rik",1455,7,26,17,5,1,0,4.81,17.87,11.68,3.44,0.69,0
"A430105I19Rik",1638,11,34,35,14,4,2,6.72,20.76,21.37,8.55,2.44,1.22
"A4galt",1080,17,16,19,8,1,0,15.74,14.81,17.59,7.41,0.93,0
"A730017C20Rik",582,2,11,10,7,1,0,3.44,18.9,17.18,12.03,1.72,0
"A830018L16Rik",1389,10,26,22,11,0,1,7.2,18.72,15.84,7.92,0,0.72
"A830080D01Rik",2259,15,40,31,18,1,1,6.64,17.71,13.72,7.97,0.44,0.44
"A930004D18Rik",474,10,9,9,2,2,0,21.1,18.99,18.99,4.22,4.22,0
"A930011G23Rik",1680,15,27,31,16,0,0,8.93,16.07,18.45,9.52,0,0
"A930033H14Rik",312,2,3,4,2,0,0,6.41,9.62,12.82,6.41,0,0
"AA415398",684,6,18,15,7,1,1,8.77,26.32,21.93,10.23,1.46,1.46
"AA792892",837,8,13,15,5,1,1,9.56,15.53,17.92,5.97,1.19,1.19
"AA986860",1821,8,29,30,13,2,1,4.39,15.93,16.47,7.14,1.1,0.55
"Aaas",1641,15,25,24,8,0,1,9.14,15.23,14.63,4.88,0,0.61
"Aacs",2019,16,45,36,16,2,0,7.92,22.29,17.83,7.92,0.99,0
"Aaed1",681,6,9,10,7,1,1,8.81,13.22,14.68,10.28,1.47,1.47
"Aagab",951,7,16,19,12,2,1,7.36,16.82,19.98,12.62,2.1,1.05
"Aamdc",453,3,11,6,2,0,1,6.62,24.28,13.25,4.42,0,2.21
"Aard",504,4,14,6,3,0,1,7.94,27.78,11.9,5.95,0,1.98
"Aars2",2943,29,46,55,28,2,3,9.85,15.63,18.69,9.51,0.68,1.02
"Aarsd1",1239,9,19,25,9,0,0,7.26,15.33,20.18,7.26,0,0
"Aasdh",3303,37,52,52,26,1,2,11.2,15.74,15.74,7.87,0.3,0.61
"Aasdhppt",930,5,17,9,4,0,0,5.38,18.28,9.68,4.3,0,0
"Aass",2781,24,43,40,25,2,0,8.63,15.46,14.38,8.99,0.72,0
"Aatf",1581,9,40,31,14,2,4,5.69,25.3,19.61,8.86,1.27,2.53
"Abat",1503,10,29,33,15,2,2,6.65,19.29,21.96,9.98,1.33,1.33
"Abca1",6786,41,128,123,67,3,2,6.04,18.86,18.13,9.87,0.44,0.29
"Abca12",7788,80,118,121,69,4,3,10.27,15.15,15.54,8.86,0.51,0.39
"Abca17",5202,56,81,73,28,5,2,10.77,15.57,14.03,5.38,0.96,0.38
"Abca3",5115,48,85,85,32,5,2,9.38,16.62,16.62,6.26,0.98,0.39
"Abca4",6933,59,129,114,51,5,1,8.51,18.61,16.44,7.36,0.72,0.14
"Abca5",4929,49,70,61,31,3,2,9.94,14.2,12.38,6.29,0.61,0.41
"Abca6",4875,44,94,56,27,5,4,9.03,19.28,11.49,5.54,1.03,0.82
"Abca7",6504,42,102,96,43,5,1,6.46,15.68,14.76,6.61,0.77,0.15
"Abca8a",4863,59,83,67,25,2,2,12.13,17.07,13.78,5.14,0.41,0.41
"Abca8b",4863,42,91,57,28,2,2,8.64,18.71,11.72,5.76,0.41,0.41
"Abca9",4872,49,88,69,31,2,3,10.06,18.06,14.16,6.36,0.41,0.62
"Abcb10",2148,10,31,25,9,1,0,4.66,14.43,11.64,4.19,0.47,0
"Abcb1a",3831,32,65,56,36,9,0,8.35,16.97,14.62,9.4,2.35,0
"Abcb1b",3831,37,54,55,34,6,0,9.66,14.1,14.36,8.87,1.57,0
"Abcb4",3831,33,68,53,37,3,1,8.61,17.75,13.83,9.66,0.78,0.26
"Abcb6",2529,33,38,45,20,2,0,13.05,15.03,17.79,7.91,0.79,0
"Abcb7",2259,13,30,24,15,3,1,5.75,13.28,10.62,6.64,1.33,0.44
"Abcb8",2154,16,24,31,11,1,2,7.43,11.14,14.39,5.11,0.46,0.93
"Abcb9",2289,14,31,34,16,2,2,6.12,13.54,14.85,6.99,0.87,0.87
"Abcc1",4587,50,79,63,28,5,1,10.9,17.22,13.73,6.1,1.09,0.22
"Abcc10",4581,34,70,69,31,1,2,7.42,15.28,15.06,6.77,0.22,0.44
"Abcc12",4101,27,59,74,40,2,2,6.58,14.39,18.04,9.75,0.49,0.49
"Abcc2",4632,39,65,82,39,4,1,8.42,14.03,17.7,8.42,0.86,0.22
"Abcc3",4572,36,67,76,25,2,2,7.87,14.65,16.62,5.47,0.44,0.44
"Abcc4",3978,37,62,65,35,2,4,9.3,15.59,16.34,8.8,0.5,1.01
"Abcc5",4311,38,77,72,36,5,4,8.81,17.86,16.7,8.35,1.16,0.93
"Abcc6",4497,20,72,64,27,4,1,4.45,16.01,14.23,6,0.89,0.22
"Abcc8",4767,35,75,86,38,3,3,7.34,15.73,18.04,7.97,0.63,0.63
"Abcc9",4641,41,79,80,45,3,3,8.83,17.02,17.24,9.7,0.65,0.65
"Abcc9.1",4641,40,81,83,47,3,3,8.62,17.45,17.88,10.13,0.65,0.65
"Abcd1",2211,18,44,24,7,1,3,8.14,19.9,10.85,3.17,0.45,1.36
"Abcd2",2226,23,37,25,9,0,2,10.33,16.62,11.23,4.04,0,0.9
"Abcd3",1980,17,36,24,11,1,0,8.59,18.18,12.12,5.56,0.51,0
"Abcd4",1821,17,33,39,15,1,3,9.34,18.12,21.42,8.24,0.55,1.65
"Abcf2",1887,12,46,36,17,1,2,6.36,24.38,19.08,9.01,0.53,1.06
"Abcf3",2130,20,39,38,19,2,0,9.39,18.31,17.84,8.92,0.94,0
"Abcg2",1974,24,32,20,10,2,1,12.16,16.21,10.13,5.07,1.01,0.51
"Abcg4",1941,23,27,31,12,2,1,11.85,13.91,15.97,6.18,1.03,0.52
"Abhd10",894,10,15,11,4,1,1,11.19,16.78,12.3,4.47,1.12,1.12
"Abhd11",924,9,16,16,9,1,0,9.74,17.32,17.32,9.74,1.08,0
"Abhd12b",1080,6,19,15,7,1,0,5.56,17.59,13.89,6.48,0.93,0
"Abhd13",1014,10,15,14,6,0,0,9.86,14.79,13.81,5.92,0,0
"Abhd14a",801,7,11,9,1,0,1,8.74,13.73,11.24,1.25,0,1.25
"Abhd14b",633,3,10,10,2,1,0,4.74,15.8,15.8,3.16,1.58,0
"Abhd15",1380,12,23,21,5,0,1,8.7,16.67,15.22,3.62,0,0.72
"Abhd17b",867,7,12,15,7,2,0,8.07,13.84,17.3,8.07,2.31,0
"Abhd17c",963,9,9,12,6,1,0,9.35,9.35,12.46,6.23,1.04,0
"Abhd18",1395,11,24,23,9,2,1,7.89,17.2,16.49,6.45,1.43,0.72
"Abhd4",1068,14,15,15,5,0,0,13.11,14.04,14.04,4.68,0,0
"Abhd5",1056,7,21,23,13,1,2,6.63,19.89,21.78,12.31,0.95,1.89
"Abhd6",1011,8,17,16,10,1,0,7.91,16.82,15.83,9.89,0.99,0
"Abi3",1104,10,14,12,6,2,0,9.06,12.68,10.87,5.43,1.81,0
"Abi3bp",3540,38,34,50,22,1,1,10.73,9.6,14.12,6.21,0.28,0.28
"Ablim1",2586,18,34,46,20,5,0,6.96,13.15,17.79,7.73,1.93,0
"Ablim3",2049,19,34,33,11,1,4,9.27,16.59,16.11,5.37,0.49,1.95
"Abracl",246,1,7,2,2,0,0,4.07,28.46,8.13,8.13,0,0
"Abt1",810,6,19,11,5,1,1,7.41,23.46,13.58,6.17,1.23,1.23
"Abtb1",1437,11,28,31,13,0,1,7.65,19.49,21.57,9.05,0,0.7
"Abtb2",3075,21,54,47,23,0,2,6.83,17.56,15.28,7.48,0,0.65
"Acaa1a",1275,11,15,24,14,2,0,8.63,11.76,18.82,10.98,1.57,0
"Acaa1b",1275,12,14,23,15,2,0,9.41,10.98,18.04,11.76,1.57,0
"Acaa2",1194,11,20,15,8,0,0,9.21,16.75,12.56,6.7,0,0
"Acaca",7038,67,123,101,40,5,3,9.52,17.48,14.35,5.68,0.71,0.43
"Acacb",7347,55,131,142,63,7,2,7.49,17.83,19.33,8.57,0.95,0.27
"Acad10",3210,34,62,56,20,3,1,10.59,19.31,17.45,6.23,0.93,0.31
"Acad11",2340,23,51,35,21,1,1,9.83,21.79,14.96,8.97,0.43,0.43
"Acad8",1242,10,23,11,1,0,0,8.05,18.52,8.86,0.81,0,0
"Acad8.1",1242,10,23,11,1,0,0,8.05,18.52,8.86,0.81,0,0
"Acad9",1878,19,31,28,8,2,0,10.12,16.51,14.91,4.26,1.06,0
"Acadl",1293,6,18,13,10,0,0,4.64,13.92,10.05,7.73,0,0
"Acadm",1266,8,20,16,13,0,0,6.32,15.8,12.64,10.27,0,0
"Acads",1239,9,19,19,11,3,0,7.26,15.33,15.33,8.88,2.42,0
"Acadsb",1398,7,20,13,6,0,0,5.01,14.31,9.3,4.29,0,0
"Acadvl",1971,14,28,27,15,2,1,7.1,14.21,13.7,7.61,1.01,0.51
"Acan",6399,85,158,142,65,8,4,13.28,24.69,22.19,10.16,1.25,0.63
"Acap2",2313,16,43,37,20,3,2,6.92,18.59,16,8.65,1.3,0.86
"Acap3",2502,16,48,44,20,2,0,6.39,19.18,17.59,7.99,0.8,0
"Acat1",1275,13,20,12,5,1,1,10.2,15.69,9.41,3.92,0.78,0.78
"Acat3",1194,10,18,18,10,4,0,8.38,15.08,15.08,8.38,3.35,0
"Acbd3",1578,11,41,21,10,2,2,6.97,25.98,13.31,6.34,1.27,1.27
"Acbd4",984,3,23,17,7,0,1,3.05,23.37,17.28,7.11,0,1.02
"Acbd5",1530,12,32,24,10,3,1,7.84,20.92,15.69,6.54,1.96,0.65
"Acbd6",849,5,12,18,10,0,1,5.89,14.13,21.2,11.78,0,1.18
"Accs",1509,10,30,29,15,2,1,6.63,19.88,19.22,9.94,1.33,0.66
"Acd",1251,11,19,18,7,0,0,8.79,15.19,14.39,5.6,0,0
"Ace",3939,39,62,63,33,4,2,9.9,15.74,15.99,8.38,1.02,0.51
"Ace2",2418,28,41,31,13,2,2,11.58,16.96,12.82,5.38,0.83,0.83
"Acer1",822,6,9,9,5,1,0,7.3,10.95,10.95,6.08,1.22,0
"Acer2",828,9,7,8,4,1,1,10.87,8.45,9.66,4.83,1.21,1.21
"Acer3",804,11,13,9,2,0,0,13.68,16.17,11.19,2.49,0,0
"Acin1",4017,16,78,62,26,5,1,3.98,19.42,15.43,6.47,1.24,0.25
"Ackr1",1005,11,7,13,6,2,0,10.95,6.97,12.94,5.97,1.99,0
"Ackr2",1137,9,15,18,7,0,1,7.92,13.19,15.83,6.16,0,0.88
"Ackr3",1089,9,9,13,6,0,0,8.26,8.26,11.94,5.51,0,0
"Acly",3306,21,60,57,24,2,3,6.35,18.15,17.24,7.26,0.6,0.91
"Aco1",2670,21,41,50,23,2,2,7.87,15.36,18.73,8.61,0.75,0.75
"Aco2",2343,14,39,43,20,4,1,5.98,16.65,18.35,8.54,1.71,0.43
"Acot1",1260,6,23,23,11,1,2,4.76,18.25,18.25,8.73,0.79,1.59
"Acot10",1320,9,31,17,8,1,1,6.82,23.48,12.88,6.06,0.76,0.76
"Acot11",1845,12,39,41,18,4,1,6.5,21.14,22.22,9.76,2.17,0.54
"Acot13",423,3,10,10,6,0,0,7.09,23.64,23.64,14.18,0,0
"Acot2",1362,8,22,24,14,1,2,5.87,16.15,17.62,10.28,0.73,1.47
"Acot3",1299,12,28,26,14,1,2,9.24,21.56,20.02,10.78,0.77,1.54
"Acot4",1266,7,25,23,13,1,0,5.53,19.75,18.17,10.27,0.79,0
"Acot5",1266,7,23,23,13,1,2,5.53,18.17,18.17,10.27,0.79,1.58
"Acot6",1260,13,21,15,9,0,0,10.32,16.67,11.9,7.14,0,0
"Acot8",963,9,9,15,4,1,1,9.35,9.35,15.58,4.15,1.04,1.04
"Acot9",1320,10,33,19,9,2,1,7.58,25,14.39,6.82,1.52,0.76
"Acox1",1986,20,24,32,12,0,0,10.07,12.08,16.11,6.04,0,0
"Acox1.1",1986,19,22,31,12,0,0,9.57,11.08,15.61,6.04,0,0
"Acox3",2103,24,28,42,21,2,0,11.41,13.31,19.97,9.99,0.95,0
"Acp6",1257,12,26,21,8,3,0,9.55,20.68,16.71,6.36,2.39,0
"Acp7",1491,7,25,33,15,0,0,4.69,16.77,22.13,10.06,0,0
"Acpp",1254,10,24,22,8,1,0,7.97,19.14,17.54,6.38,0.8,0
"Acrbp",1623,8,38,17,6,0,1,4.93,23.41,10.47,3.7,0,0.62
"Acsf2",1848,16,30,30,14,3,1,8.66,16.23,16.23,7.58,1.62,0.54
"Acsf3",1752,16,37,25,14,2,2,9.13,21.12,14.27,7.99,1.14,1.14
"Acsl1",2100,16,34,32,19,4,1,7.62,16.19,15.24,9.05,1.9,0.48
"Acsl1.1",2100,13,34,31,18,4,1,6.19,16.19,14.76,8.57,1.9,0.48
"Acsl4",2136,32,35,30,13,1,2,14.98,16.39,14.04,6.09,0.47,0.94
"Acsl6",2169,19,36,40,24,3,3,8.76,16.6,18.44,11.07,1.38,1.38
"Acsl6.1",2169,21,35,40,23,2,3,9.68,16.14,18.44,10.6,0.92,1.38
"Acss1",2049,22,35,41,20,1,0,10.74,17.08,20.01,9.76,0.49,0
"Acss2",2145,15,33,26,9,0,0,6.99,15.38,12.12,4.2,0,0
"Acta1",1134,4,14,27,12,0,1,3.53,12.35,23.81,10.58,0,0.88
"Acta2",1134,9,19,26,16,1,1,7.94,16.75,22.93,14.11,0.88,0.88
"Actl6a",1290,14,20,19,12,1,2,10.85,15.5,14.73,9.3,0.78,1.55
"Actl6b",1281,13,21,18,9,0,0,10.15,16.39,14.05,7.03,0,0
"Actn1",2679,17,60,57,16,1,0,6.35,22.4,21.28,5.97,0.37,0
"Actn2",2685,23,68,56,23,5,2,8.57,25.33,20.86,8.57,1.86,0.74
"Actn3",2703,23,67,63,17,1,2,8.51,24.79,23.31,6.29,0.37,0.74
"Actr10",1254,16,24,15,8,0,1,12.76,19.14,11.96,6.38,0,0.8
"Actr2",1185,15,25,21,11,1,2,12.66,21.1,17.72,9.28,0.84,1.69
"Actr5",1827,8,51,22,11,1,2,4.38,27.91,12.04,6.02,0.55,1.09
"Actr6",1191,8,12,20,13,1,0,6.72,10.08,16.79,10.92,0.84,0
"Actrt3",1110,5,18,16,7,2,2,4.5,16.22,14.41,6.31,1.8,1.8
"Acvr1",1530,9,19,24,11,0,0,5.88,12.42,15.69,7.19,0,0
"Acvr1c",1482,14,20,26,12,0,1,9.45,13.5,17.54,8.1,0,0.67
"Acvr2b",1611,16,28,28,15,5,1,9.93,17.38,17.38,9.31,3.1,0.62
"Acvrl1",1509,13,14,30,15,0,0,8.61,9.28,19.88,9.94,0,0
"Acy1",1227,8,20,18,8,0,2,6.52,16.3,14.67,6.52,0,1.63
"Acy3",957,15,12,19,2,0,0,15.67,12.54,19.85,2.09,0,0
"Acyp1",474,6,8,7,2,0,0,12.66,16.88,14.77,4.22,0,0
"Acyp2",321,1,3,6,2,1,0,3.12,9.35,18.69,6.23,3.12,0
"Adal",1083,20,18,25,12,2,0,18.47,16.62,23.08,11.08,1.85,0
"Adam10",2250,25,37,28,11,0,2,11.11,16.44,12.44,4.89,0,0.89
"Adam11",2337,24,42,42,17,2,0,10.27,17.97,17.97,7.27,0.86,0
"Adam12",2712,25,50,52,20,3,2,9.22,18.44,19.17,7.37,1.11,0.74
"Adam17",2541,26,41,49,24,1,3,10.23,16.14,19.28,9.45,0.39,1.18
"Adam18",2160,27,30,39,21,0,0,12.5,13.89,18.06,9.72,0,0
"Adam19",2763,29,49,37,16,2,3,10.5,17.73,13.39,5.79,0.72,1.09
